lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2033_translation,english_translation
θεός,288,unigram,masculine,accusative,plural,thayanangan-a,1.290148358088001,thayanangan-a,God
θεός,121,unigram,masculine,accusative,singular,God.an,1.2122729731111561,God.an,God
θεός,26,unigram,masculine,nominative,plural,Niiyiy-a,1.7141907831796015,Niiyiy-a,God
θεός,183,unigram,masculine,nominative,singular,God.an,1.142290852480667,God.an,God
κύριος,122,unigram,masculine,nominative,singular,moom,1.1184317598960538,moom,"Lord, lord, master"
γραφή,117,unigram,feminine,accusative,plural,lat,1.0705427255097688,lat,Scripture
γραφή,48,unigram,feminine,accusative,singular,lat,1.0175980006671896,lat,Scripture
γραφή,232,unigram,feminine,nominative,plural,paththamwey,1.269259382606322,paththamwey,Scripture
γραφή,283,unigram,feminine,nominative,singular,lat,1.2684930461363777,lat,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,ngaantiyongk,1.7029724000287343,ngaantiyongk,angel
ἄγγελος,74,unigram,masculine,accusative,singular,kuchāng,1.1415904551164564,kuchāng,angel
ἄγγελος,44,unigram,masculine,nominative,plural,ngaantiyongk,4.0481491851449976,ngaantiyongk,angel
ἄγγελος,95,unigram,masculine,nominative,singular,ngaantiyongk,1.2300873749013053,ngaantiyongk,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,weꞌarathayn,1.0685114424606652,weꞌarathayn,apostle
ἐξουσία,175,unigram,feminine,accusative,singular,Nungkar,1.008973496070245,Nungkar,authority
βρέφος,13,unigram,neuter,accusative,plural,thathinan,1.0662889959392077,thathinan,babies
ἀποθήκη,64,unigram,feminine,accusative,singular,thumang,1.1556581875986325,thumang,barn
ζώνη,154,unigram,feminine,accusative,plural,pocketangan,1.6862376765243403,pocketangan,belt
βλασφημία,29,unigram,feminine,accusative,plural,yump-yumpanampa,1.0960768946513286,yump-yumpanampa,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,chukkun,1.4145747671981146,chukkun,boat
πλοῖον,210,unigram,neuter,nominative,plural,Chukkun,1.1616361309642669,Chukkun,boat
πλοῖον,197,unigram,neuter,nominative,singular,chukkunang,1.7537889780774258,chukkunang,boat
σῶμα,56,unigram,neuter,nominative,singular,kemp,1.6226540601900807,kemp,body
κλῆμα,135,unigram,neuter,nominative,singular,punthan,1.6788348222685223,punthan,branch
ἄρτος,275,unigram,masculine,accusative,plural,bread,1.4443686808657006,bread,bread
ἄρτος,297,unigram,masculine,accusative,singular,may,2.093543477850392,may,bread
ἄρτος,142,unigram,masculine,nominative,plural,may,1.3748273573505094,may,bread
ἄρτος,35,unigram,masculine,nominative,singular,bread,1.8569677164262528,bread,bread
ἀδελφός,263,unigram,masculine,accusative,plural,kuunch,2.9493936089528217,kuunch,brother
ἀδελφός,108,unigram,masculine,accusative,singular,kuunch,1.0430553449258837,kuunch,brother
ἀδελφός,98,unigram,masculine,nominative,plural,kuunch,2.674896442016083,kuunch,brother
ἀδελφός,202,unigram,masculine,nominative,singular,kuunch,3.5472685855978985,kuunch,brother
στῆθος,250,unigram,neuter,accusative,singular,Lord-ang,1.0649033876932634,Lord-ang,"chest, breast"
ἀρχιερεύς,213,unigram,masculine,accusative,plural,priests,4.013765428380356,priests,chief priest
ἀρχιερεύς,57,unigram,masculine,accusative,singular,priests,1.281016198186439,priests,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,priests,3.810281285783543,priests,chief priest
ἀρχιερεύς,218,unigram,masculine,nominative,singular,moom,1.6763906195824827,moom,chief priest
παῖς,206,unigram,masculine,accusative,plural,thath-thathin,1.0428289086400344,thath-thathin,child
παῖς,46,unigram,masculine,accusative,singular,keekath,1.0961210847775034,keekath,child
τέκνον,291,unigram,neuter,accusative,plural,puk,2.9041110272742827,puk,child
τέκνον,160,unigram,neuter,accusative,singular,piipiy,1.199464901982057,piipiy,child
τέκνον,14,unigram,neuter,nominative,plural,piipiy,1.2147194452896728,piipiy,child
τέκνον,169,unigram,neuter,nominative,singular,ngatharam-ang,1.150727217528485,ngatharam-ang,child
παιδίον,12,unigram,neuter,accusative,plural,manyiy,1.0668669784473268,manyiy,child
παιδίον,79,unigram,neuter,accusative,singular,puk,1.6442899941549949,puk,child
παιδίον,37,unigram,neuter,nominative,singular,puk,1.276772742146125,puk,child
πόλις,161,unigram,feminine,accusative,plural,villages,1.1624360360100945,villages,city
πόλις,60,unigram,feminine,accusative,singular,town,1.4740443734636004,town,city
πύλη,236,unigram,feminine,nominative,plural,uthamānwey-a,1.0960622061228922,uthamānwey-a,city gate
χιτών,103,unigram,masculine,accusative,plural,kalāna,1.2231533241127148,kalāna,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,shirt,1.593586240380252,shirt,"clothing, undergarments"
ἱμάτιον,119,unigram,neuter,accusative,plural,ngook,2.9736749189918563,ngook,coat
ἱμάτιον,118,unigram,neuter,accusative,singular,ngook,1.013688842788684,ngook,coat
ἐντολή,70,unigram,feminine,accusative,singular,thayan,1.109082818476054,thayan,commandment
συνέδριον,279,unigram,neuter,accusative,plural,courtak,1.1133354163772469,courtak,council
συνέδριον,50,unigram,neuter,accusative,singular,piꞌ-piꞌanam,1.0231203023865032,piꞌ-piꞌanam,council
χώρα,255,unigram,feminine,accusative,singular,anganiya,1.116804669015244,anganiya,"country, countryside"
ὄχλος,54,unigram,masculine,accusative,plural,wanch,1.0278067199314729,wanch,crowd
ὄχλος,7,unigram,masculine,accusative,singular,wanch,1.4996089222935465,wanch,crowd
ὄχλος,87,unigram,masculine,nominative,plural,wanch,1.8824118450507672,wanch,crowd
ὄχλος,246,unigram,masculine,nominative,singular,wanch,1.0349630717852814,wanch,crowd
θυγάτηρ,101,unigram,feminine,nominative,plural,peeyin,1.0961506491767987,peeyin,daughter
θυγάτηρ,274,unigram,feminine,nominative,singular,Puk,1.0342235848534167,Puk,daughter
ἡμέρα,68,unigram,feminine,accusative,plural,kinch,1.2397359902883285,kinch,day
ἡμέρα,75,unigram,feminine,accusative,singular,thon-thonangana,1.0499758034312294,thon-thonangana,day
ἡμέρα,2,unigram,feminine,nominative,plural,kompan,1.1256185685341793,kompan,day
ἡμέρα,62,unigram,feminine,nominative,singular,mat-a,1.0862730041287456,mat-a,day
ὀφειλέτης,109,unigram,masculine,nominative,singular,owe.impungan,1.1454417825320882,owe.impungan,debtor
δαιμόνιον,28,unigram,neuter,accusative,plural,oony,1.8393459218189931,oony,demon
