lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2012_translation,english_translation
θεός,208,unigram,masculine,accusative,plural,Sesoamsna,1.101456658612775,Sesoamsna,God
θεός,78,unigram,masculine,accusative,singular,Lo,1.0311500769359077,Lo,God
θεός,14,unigram,masculine,nominative,plural,Sesoamsna,1.101456658612775,Sesoamsna,God
θεός,128,unigram,masculine,nominative,singular,Sesoa,1.0883270329600463,Sesoa,God
κύριος,79,unigram,masculine,nominative,singular,mendekli,1.0429793415364583,mendekli,"Lord, lord, master"
γραφή,75,unigram,feminine,accusative,plural,doaraminimomba,1.637403699929978,doaraminimomba,Scripture
γραφή,204,unigram,feminine,nominative,singular,tombaimorava,1.4035748121492355,tombaimorava,Scripture
ἄγγελος,55,unigram,masculine,accusative,plural,ovsongolnindva,1.2234337780264997,ovsongolnindva,angel
ἄγγελος,47,unigram,masculine,accusative,singular,Malakai,1.0527151613132335,Malakai,angel
ἄγγελος,26,unigram,masculine,nominative,plural,ovsongolnind,1.8810159210966009,ovsongolnind,angel
ἄγγελος,63,unigram,masculine,nominative,singular,ovsongolnindriniva,1.1708544981035836,ovsongolnindriniva,angel
ἀπόστολος,24,unigram,masculine,nominative,plural,moa,1.2355195530301817,moa,apostle
ἐξουσία,119,unigram,feminine,accusative,singular,lohv,1.0354459532095566,lohv,authority
ἀποθήκη,163,unigram,feminine,accusative,plural,Nungeiltuk,1.1000990583899657,Nungeiltuk,barn
ἀποθήκη,42,unigram,feminine,accusative,singular,suwemba,1.1303970527725524,suwemba,barn
φραγμός,66,unigram,masculine,accusative,singular,kavm,1.1519128603540365,kavm,"barrier, wall"
ἀρχή,106,unigram,feminine,accusative,singular,lohvhoapramnana,1.111220218016796,lohvhoapramnana,beginning
βλασφημία,16,unigram,feminine,accusative,plural,opipahav,1.1112509821900427,opipahav,blasphemy
βλασφημία,126,unigram,feminine,nominative,plural,ovrivra,1.4105393014494954,ovrivra,blasphemy
πλοῖον,61,unigram,neuter,accusative,plural,botsamblamba,1.3035637888226848,botsamblamba,boat
πλοῖον,194,unigram,neuter,accusative,singular,botra,5.880050082519867,botra,boat
σῶμα,35,unigram,neuter,nominative,singular,Yena,1.3549535267488728,Yena,body
ἄρτος,197,unigram,masculine,accusative,plural,rotiva,2.0785429868553438,rotiva,bread
ἄρτος,214,unigram,masculine,accusative,singular,innemba,1.4359959753597842,innemba,bread
ἄρτος,91,unigram,masculine,nominative,plural,dahwol,1.3159834235774943,dahwol,bread
ἄρτος,19,unigram,masculine,nominative,singular,senamini,1.1907520150323587,senamini,bread
ἀδελφός,186,unigram,masculine,accusative,plural,deuvm,1.1777417919115911,deuvm,brother
ἀδελφός,72,unigram,masculine,accusative,singular,etel,2.4284734035628777,etel,brother
ἀδελφός,65,unigram,masculine,nominative,plural,towandaslalva,1.0560343614853818,towandaslalva,brother
στῆθος,175,unigram,neuter,accusative,singular,ku,1.1295249769649618,ku,"chest, breast"
ἀρχιερεύς,148,unigram,masculine,accusative,plural,kuwulm,1.2070976178454051,kuwulm,chief priest
ἀρχιερεύς,71,unigram,masculine,nominative,plural,andranindna,1.467498315185186,andranindna,chief priest
ἀρχιερεύς,151,unigram,masculine,nominative,singular,andranindna,1.9079353156707848,andranindna,chief priest
παῖς,143,unigram,masculine,accusative,plural,ovra,1.288063099133938,ovra,child
τέκνον,210,unigram,neuter,accusative,plural,vinvav,1.1876288932167964,vinvav,child
τέκνον,104,unigram,neuter,accusative,singular,pulvovra,1.5654761019635297,pulvovra,child
τέκνον,7,unigram,neuter,nominative,plural,pulvovra,1.6167241069606992,pulvovra,child
τέκνον,112,unigram,neuter,nominative,singular,seh,1.1441243673852148,seh,child
παιδίον,52,unigram,neuter,accusative,singular,otollinim,1.1515235685816885,otollinim,child
παιδίον,21,unigram,neuter,nominative,singular,Sekaraiava,1.4585318935931333,Sekaraiava,child
πόλις,38,unigram,feminine,accusative,singular,di,1.0297689441277542,di,city
πύλη,125,unigram,feminine,nominative,singular,kekelmel,1.2488878206134095,kekelmel,city gate
ἱμάτιον,76,unigram,neuter,accusative,plural,kayen,1.4267540134392953,kayen,coat
ἐντολή,45,unigram,feminine,accusative,singular,wulaevv,1.8990224403991605,wulaevv,commandment
συνέδριον,28,unigram,neuter,accusative,singular,andranindna,1.088011657790885,andranindna,council
χώρα,178,unigram,feminine,accusative,singular,pethara,1.1795719787295371,pethara,"country, countryside"
ὄχλος,32,unigram,masculine,accusative,plural,aonghal,1.6218917855293926,aonghal,crowd
ὄχλος,5,unigram,masculine,accusative,singular,indhanamba,1.2517599092380838,indhanamba,crowd
ὄχλος,57,unigram,masculine,nominative,plural,Yesusva,1.1883266774834311,Yesusva,crowd
ὄχλος,170,unigram,masculine,nominative,singular,ombandhanamba,1.003526679391384,ombandhanamba,crowd
ἡμέρα,44,unigram,feminine,accusative,plural,simba,1.1369156341336055,simba,day
ἡμέρα,48,unigram,feminine,accusative,singular,elsus,1.0094016380606339,elsus,day
ἡμέρα,2,unigram,feminine,nominative,plural,ungundva,1.1776513605187788,ungundva,day
ἡμέρα,40,unigram,feminine,nominative,singular,sapturam,1.214947431439148,sapturam,day
δαιμόνιον,15,unigram,neuter,accusative,plural,tihsongomba,1.068808664886995,tihsongomba,demon
δαιμόνιον,206,unigram,neuter,accusative,singular,tihsongova,1.2844084879278563,tihsongova,demon
δαιμόνιον,114,unigram,neuter,nominative,plural,tihsongova,4.0707305513232885,tihsongova,demon
δαιμόνιον,98,unigram,neuter,nominative,singular,tihsongova,1.806941686949,tihsongova,demon
δηνάριον,190,unigram,neuter,accusative,plural,kina,2.156215486866002,kina,denarius (about a day's wages)
δηνάριον,93,unigram,neuter,accusative,singular,sen,1.1041971112613491,sen,denarius (about a day's wages)
μαθητής,102,unigram,masculine,accusative,plural,hevtindim,1.2994069637477172,hevtindim,disciple
μαθητής,211,unigram,masculine,accusative,singular,vevnam,1.2671651028572823,vevnam,disciple
μαθητής,166,unigram,masculine,nominative,plural,hevtindi,1.0472541277658165,hevtindi,disciple
νόσος,43,unigram,feminine,accusative,singular,sishona,1.1575226806943302,sishona,disease
περιστερά,56,unigram,feminine,accusative,plural,leumb,1.1789947578860125,leumb,dove
