lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2052_translation,english_translation
θεός,259,unigram,masculine,accusative,plural,yoifiano,1.1475365859192672,yoifiano,God
θεός,105,unigram,masculine,accusative,singular,Nios,2.9151424432821904,Nios,God
θεός,21,unigram,masculine,nominative,plural,keskarakõifokĩ,1.2154724280609577,keskarakõifokĩ,God
θεός,163,unigram,masculine,nominative,singular,Niospa,1.0261695628830438,Niospa,God
κύριος,106,unigram,masculine,nominative,singular,Ifãfe,1.3004881203590446,Ifãfe,"Lord, lord, master"
γραφή,101,unigram,feminine,accusative,plural,kenenifo,1.3465123061002662,kenenifo,Scripture
γραφή,38,unigram,feminine,accusative,singular,kenenifo,1.2678081706729714,kenenifo,Scripture
γραφή,209,unigram,feminine,nominative,plural,achi,1.6549582084623309,achi,Scripture
γραφή,255,unigram,feminine,nominative,singular,keneyonifo,1.5466612815935914,keneyonifo,Scripture
ἄγγελος,78,unigram,masculine,accusative,plural,ãjirifo,1.851497291333324,ãjirifo,angel
ἄγγελος,68,unigram,masculine,accusative,singular,Isaías,1.0013019266954504,Isaías,angel
ἄγγελος,35,unigram,masculine,nominative,plural,ãjirifo,1.1687022870980317,ãjirifo,angel
ἄγγελος,88,unigram,masculine,nominative,singular,ãjirinĩ,1.9528748751106089,ãjirinĩ,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,yoimisfãfe,1.1249365010974832,yoimisfãfe,apostle
ἐξουσία,55,unigram,feminine,accusative,plural,kemaimãkai,1.0962199599997684,kemaimãkai,authority
βρέφος,254,unigram,neuter,accusative,singular,fakkafãfe,1.5327737066880165,fakkafãfe,babies
ἀποθήκη,54,unigram,feminine,accusative,singular,chiifã,1.4195300383768903,chiifã,barn
ἀρχή,57,unigram,feminine,accusative,plural,kemaimãkai,1.0961063339256685,kemaimãkai,beginning
βλασφημία,24,unigram,feminine,accusative,plural,mekafayanã,1.0960768946513286,mekafayanã,blasphemy
βλασφημία,69,unigram,feminine,nominative,singular,chakafakĩ,1.3908825009917152,chakafakĩ,blasphemy
πλοῖον,86,unigram,neuter,accusative,plural,kanõanãfã,2.3880500077691957,kanõanãfã,boat
πλοῖον,241,unigram,neuter,accusative,singular,kanõanãfã,1.5430413971634331,kanõanãfã,boat
πλοῖον,179,unigram,neuter,nominative,singular,ĩamãfã,1.9986427249996863,ĩamãfã,boat
σῶμα,47,unigram,neuter,nominative,singular,xafakĩa,1.0425180918704129,xafakĩa,body
κλῆμα,118,unigram,neuter,nominative,singular,põya,1.4415070933380034,põya,branch
ἄρτος,245,unigram,masculine,accusative,plural,pãa,2.3955492106841167,pãa,bread
ἄρτος,267,unigram,masculine,accusative,singular,piai,1.1393486514846205,piai,bread
ἄρτος,125,unigram,masculine,nominative,plural,na,1.2071459371067494,na,bread
ἄρτος,28,unigram,masculine,nominative,singular,piai,1.1998896295997388,piai,bread
