lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1485_translation,english_translation
θεός,319,unigram,masculine,accusative,plural,epmano-at,1.0191097990939146,epmano-at,God
θεός,127,unigram,masculine,accusative,singular,Allah,2.5698586499375637,Allah,God
θεός,29,unigram,masculine,nominative,plural,hisebahon,1.2022597998925917,hisebahon,God
θεός,203,unigram,masculine,nominative,singular,Allahen,1.578200441209156,Allahen,God
κύριος,128,unigram,masculine,nominative,singular,Ninowe,1.6550484965992591,Ninowe,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,Alkitab,1.1318119665194903,Alkitab,Scripture
γραφή,49,unigram,feminine,accusative,singular,Alkitab,1.4293361550129915,Alkitab,Scripture
γραφή,254,unigram,feminine,nominative,plural,baleg,1.0467894459772629,baleg,Scripture
γραφή,313,unigram,feminine,nominative,singular,Alkitab,1.8295325752241884,Alkitab,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,omalaikat,1.0744855188796592,omalaikat,angel
ἄγγελος,80,unigram,masculine,accusative,singular,lahapfuhuk-o,1.2747070484188592,lahapfuhuk-o,angel
ἄγγελος,46,unigram,masculine,nominative,plural,malaikat,3.995342533306956,malaikat,angel
ἄγγελος,106,unigram,masculine,nominative,singular,malaikat,7.212194565273568,malaikat,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,mondep,1.1217022300194612,mondep,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,mondepfurukon,1.0961358565100614,mondepfurukon,apostle
ἐξουσία,193,unigram,feminine,accusative,singular,welamag,1.0581091114950298,welamag,authority
βρέφος,17,unigram,neuter,accusative,plural,senep,1.08114916407286,senep,babies
βρέφος,311,unigram,neuter,accusative,singular,inaharom,1.0398319918675287,inaharom,babies
ἀποθήκη,67,unigram,feminine,accusative,singular,asin,1.0278811159251393,asin,barn
φραγμός,227,unigram,masculine,accusative,plural,iknien,1.1189823289416965,iknien,"barrier, wall"
ἀρχή,177,unigram,feminine,accusative,singular,Kana,1.190990406000983,Kana,beginning
βλασφημία,201,unigram,feminine,nominative,plural,inobam,1.091019837662449,inobam,blasphemy
βλασφημία,81,unigram,feminine,nominative,singular,inobam,1.091019837662449,inobam,blasphemy
πλοῖον,104,unigram,neuter,accusative,plural,so,1.4270429563778952,so,boat
πλοῖον,296,unigram,neuter,accusative,singular,so,3.2641928984181483,so,boat
πλοῖον,232,unigram,neuter,nominative,plural,Larukmu,1.1435271903232078,Larukmu,boat
πλοῖον,220,unigram,neuter,nominative,singular,so,1.2808813333977151,so,boat
σῶμα,60,unigram,neuter,nominative,singular,hinebe,1.1252950130742567,hinebe,body
κλῆμα,56,unigram,neuter,nominative,plural,yihikup-o,1.5936051839820091,yihikup-o,branch
κλῆμα,144,unigram,neuter,nominative,singular,welamuhuk,1.2925257312916645,welamuhuk,branch
ἄρτος,300,unigram,masculine,accusative,plural,roti,1.166559899982553,roti,bread
