lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2056_translation,english_translation
θεός,345,unigram,masculine,accusative,plural,got,1.1634492944761523,got,God
θεός,141,unigram,masculine,accusative,singular,Got,2.758849566160233,Got,God
θεός,34,unigram,masculine,nominative,plural,got,1.7959337303257532,got,God
θεός,220,unigram,masculine,nominative,singular,Got,8.360297981320661,Got,God
κύριος,142,unigram,masculine,nominative,singular,Somol,1.7020538032356003,Somol,"Lord, lord, master"
γραφή,137,unigram,feminine,accusative,plural,babyor,1.017144192736539,babyor,Scripture
γραφή,58,unigram,feminine,accusative,singular,babyor,1.0181413589391621,babyor,Scripture
γραφή,278,unigram,feminine,nominative,plural,babyor,1.3162909673841183,babyor,Scripture
γραφή,339,unigram,feminine,nominative,singular,babyor,1.015742568107178,babyor,Scripture
ἄγγελος,107,unigram,masculine,accusative,plural,engel,1.8899066145238281,engel,angel
ἄγγελος,93,unigram,masculine,accusative,singular,bing,1.229609066439692,bing,angel
ἄγγελος,54,unigram,masculine,nominative,plural,engel,4.1979590296960225,engel,angel
ἄγγελος,116,unigram,masculine,nominative,singular,engel,5.639916653249799,engel,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,apostel,2.476058880334956,apostel,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,nnol,1.5643976457403483,nnol,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,pufthinnagmed,1.1616007369569912,pufthinnagmed,authority
ἐξουσία,208,unigram,feminine,accusative,singular,mat,1.99285436195726,mat,authority
βρέφος,19,unigram,neuter,accusative,plural,yodoromgad,1.2125536087908515,yodoromgad,babies
φραγμός,246,unigram,masculine,accusative,plural,noch,1.3846750640410954,noch,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,pufthinnagmed,1.1613985352799874,pufthinnagmed,beginning
ἀρχή,188,unigram,feminine,accusative,singular,som,1.5697691508310831,som,beginning
ζώνη,179,unigram,feminine,accusative,plural,bel,1.059531995066612,bel,belt
βλασφημία,38,unigram,feminine,accusative,plural,rogned,1.1954221692083298,rogned,blasphemy
βλασφημία,218,unigram,feminine,nominative,plural,kireb,1.1217224729948745,kireb,blasphemy
πλοῖον,114,unigram,neuter,accusative,plural,bowoch,1.615411819488462,bowoch,boat
πλοῖον,323,unigram,neuter,accusative,singular,bowoch,2.2051002426444573,bowoch,boat
πλοῖον,253,unigram,neuter,nominative,plural,bowoch,1.098395637017364,bowoch,boat
πλοῖον,238,unigram,neuter,nominative,singular,bowoch,1.9168785131641832,bowoch,boat
σῶμα,227,unigram,neuter,nominative,plural,ad,1.168814946977978,ad,body
σῶμα,69,unigram,neuter,nominative,singular,dowam,1.7116062801435032,dowam,body
κλῆμα,65,unigram,neuter,nominative,plural,mpethgad,1.2929149672790816,mpethgad,branch
κλῆμα,155,unigram,neuter,nominative,singular,grape,1.3443569256729295,grape,branch
ἄρτος,328,unigram,masculine,accusative,plural,flowa,2.271720362018924,flowa,bread
ἄρτος,357,unigram,masculine,accusative,singular,ggan,1.0482657479858424,ggan,bread
ἄρτος,163,unigram,masculine,nominative,plural,flowa,1.3904416622894238,flowa,bread
ἄρτος,45,unigram,masculine,nominative,singular,ggan,2.2522189380454805,ggan,bread
ἀδελφός,312,unigram,masculine,accusative,plural,walagen,1.3436011291231298,walagen,brother
ἀδελφός,129,unigram,masculine,accusative,singular,James,1.1386252368017309,James,brother
ἀδελφός,120,unigram,masculine,nominative,plural,pumo,1.522918364258506,pumo,brother
ἀδελφός,244,unigram,masculine,nominative,singular,walagen,1.1814013652675384,walagen,brother
στῆθος,160,unigram,neuter,accusative,plural,ngorongorrad,1.4107234062607292,ngorongorrad,"chest, breast"
στῆθος,296,unigram,neuter,accusative,singular,mini,1.0262127646629586,mini,"chest, breast"
ἀρχιερεύς,258,unigram,masculine,accusative,plural,prist,1.0786480089329662,prist,chief priest
ἀρχιερεύς,70,unigram,masculine,accusative,singular,Prist,1.2369533093657796,Prist,chief priest
ἀρχιερεύς,128,unigram,masculine,nominative,plural,prist,1.1977870012660388,prist,chief priest
ἀρχιερεύς,263,unigram,masculine,nominative,singular,Prist,1.1177115007453635,Prist,chief priest
παῖς,249,unigram,masculine,accusative,plural,damumuw,1.2762790803667312,damumuw,child
παῖς,56,unigram,masculine,accusative,singular,margeynag,1.5121469193106427,margeynag,child
τέκνον,348,unigram,neuter,accusative,plural,pifak,2.3586898134666705,pifak,child
τέκνον,185,unigram,neuter,accusative,singular,walagrad,1.0081086735331242,walagrad,child
τέκνον,20,unigram,neuter,nominative,plural,walagrad,1.068626691954887,walagrad,child
τέκνον,200,unigram,neuter,nominative,singular,Fakag,3.4428476113050888,Fakag,child
παιδίον,18,unigram,neuter,accusative,plural,bitir,1.0365970120320405,bitir,child
παιδίον,101,unigram,neuter,accusative,singular,tir,3.8698973031459483,tir,child
παιδίον,177,unigram,neuter,nominative,plural,bitir,1.139973534387339,bitir,child
παιδίον,47,unigram,neuter,nominative,singular,tir,2.7535485224637806,tir,child
πόλις,189,unigram,feminine,accusative,plural,binaw,1.837709083237209,binaw,city
πόλις,73,unigram,feminine,accusative,singular,binaw,2.835425132738738,binaw,city
πύλη,281,unigram,feminine,nominative,plural,galesiya,1.3874288581371126,galesiya,city gate
πύλη,217,unigram,feminine,nominative,singular,wen,1.0810874961044612,wen,city gate
χιτών,124,unigram,masculine,accusative,plural,kenggin,1.2524613242391107,kenggin,"clothing, undergarments"
χιτών,35,unigram,masculine,accusative,singular,kenggin,1.0715550963570946,kenggin,"clothing, undergarments"
ἱμάτιον,139,unigram,neuter,accusative,plural,mad,2.6285147905377078,mad,coat
ἱμάτιον,138,unigram,neuter,accusative,singular,mad,1.8725658401073368,mad,coat
ἐντολή,90,unigram,feminine,accusative,plural,chiylen,1.015454751977473,chiylen,commandment
ἐντολή,89,unigram,feminine,accusative,singular,motochiyel,1.719878898811414,motochiyel,commandment
συνέδριον,333,unigram,neuter,accusative,plural,pufthin,1.1855699413822611,pufthin,council
συνέδριον,60,unigram,neuter,accusative,singular,prist,1.0974260700541263,prist,council
χώρα,85,unigram,feminine,accusative,plural,woldug.,1.255688430271222,woldug.,"country, countryside"
χώρα,301,unigram,feminine,accusative,singular,Gerasa,1.2000090997734052,Gerasa,"country, countryside"
ὄχλος,66,unigram,masculine,accusative,plural,fapi,1.0404779857761517,fapi,crowd
ὄχλος,12,unigram,masculine,accusative,singular,girdi,2.692798363879647,girdi,crowd
ὄχλος,109,unigram,masculine,nominative,plural,girdi,1.6632886544975962,girdi,crowd
ὄχλος,291,unigram,masculine,nominative,singular,pire,1.0154295103977458,pire,crowd
θυγάτηρ,327,unigram,feminine,nominative,singular,pin,1.2104894706469458,pin,daughter
ἡμέρα,83,unigram,feminine,accusative,plural,rran,4.071047240103065,rran,day
ἡμέρα,94,unigram,feminine,accusative,singular,rran,4.156134587895618,rran,day
ἡμέρα,2,unigram,feminine,nominative,plural,rran,1.6090040606160538,rran,day
ἡμέρα,75,unigram,feminine,nominative,singular,rran,1.8268798739332428,rran,day
ὀφειλέτης,265,unigram,masculine,nominative,plural,wulyang,1.0960524252565438,wulyang,debtor
ὀφειλέτης,131,unigram,masculine,nominative,singular,million,1.0960524252565438,million,debtor
δαιμόνιον,36,unigram,neuter,accusative,plural,onyan,1.1817363145507616,onyan,demon
δαιμόνιον,342,unigram,neuter,accusative,singular,onyan,1.4834839276841667,onyan,demon
δαιμόνιον,202,unigram,neuter,nominative,plural,onyan,1.5281266199222756,onyan,demon
δαιμόνιον,176,unigram,neuter,nominative,singular,onyan,1.5360981146829311,onyan,demon
δηνάριον,317,unigram,neuter,accusative,plural,silber,1.0262687508867632,silber,denarius (about a day's wages)
δηνάριον,165,unigram,neuter,accusative,singular,salpiy,1.4799403331217271,salpiy,denarius (about a day's wages)
μαθητής,182,unigram,masculine,accusative,plural,gachalpen,4.241035817568773,gachalpen,disciple
μαθητής,349,unigram,masculine,accusative,singular,gachalpen,1.0650355225970516,gachalpen,disciple
μαθητής,285,unigram,masculine,nominative,plural,gachalpen,3.2573933995872197,gachalpen,disciple
μαθητής,347,unigram,masculine,nominative,singular,gachalpen,2.579814846040303,gachalpen,disciple
νόσος,3,unigram,feminine,accusative,plural,liliy,1.1337883179147477,liliy,disease
νόσος,82,unigram,feminine,accusative,singular,golnag,1.0444100136119194,golnag,disease
περιστερά,108,unigram,feminine,accusative,plural,bulogol,1.4349303418097266,bulogol,dove
περιστερά,62,unigram,feminine,accusative,singular,dove,1.2090368455239362,dove,dove
οὖς,154,unigram,neuter,accusative,plural,telmed,2.478967085115644,telmed,ear
οὖς,290,unigram,neuter,accusative,singular,tel,1.254293081115703,tel,ear
σεισμός,209,unigram,masculine,nominative,plural,durru,1.0810922260060456,durru,"earthquakes, storm"
τέλος,39,unigram,neuter,accusative,plural,chugum,1.0578252156723336,chugum,end
τέλος,283,unigram,neuter,accusative,singular,athamgil,1.03325760932181,athamgil,end
αἰών,250,unigram,masculine,accusative,plural,Jakob,1.1854228912544085,Jakob,eternity
αἰών,313,unigram,masculine,accusative,singular,umngin,1.556140651172811,umngin,eternity
ὀφθαλμός,27,unigram,masculine,accusative,plural,barbarnag,1.1197499872921122,barbarnag,eye
ὀφθαλμός,72,unigram,masculine,nominative,plural,puf,1.0734659856252524,puf,eye
ὀφθαλμός,310,unigram,masculine,nominative,singular,owchem,1.604600315011243,owchem,eye
πρόσωπον,130,unigram,neuter,accusative,plural,biliggad,1.179718179898725,biliggad,face
πρόσωπον,197,unigram,neuter,accusative,singular,agan,1.107017950217751,agan,face
λιμός,9,unigram,feminine,nominative,plural,uyongol,1.106276804395426,uyongol,famine
λιμός,322,unigram,masculine,nominative,plural,uyongol,1.1613374356247497,uyongol,famine
λιμός,102,unigram,feminine,nominative,singular,uyongol,1.5582899696866248,uyongol,famine
γεωργός,264,unigram,masculine,nominative,plural,ninged,1.2169500928317178,ninged,"farmer, tenant"
γεωργός,57,unigram,masculine,nominative,singular,kenggin,1.0530762456079552,kenggin,"farmer, tenant"
πατήρ,203,unigram,masculine,accusative,plural,Abrahamnge,1.5292059718848443,Abrahamnge,father
πατήρ,316,unigram,masculine,accusative,singular,Chitamangiy,1.9471966036441608,Chitamangiy,father
πατήρ,326,unigram,masculine,nominative,plural,kakrom,2.0097240531796245,kakrom,father
πατήρ,190,unigram,masculine,nominative,singular,Chitamangiy,1.8400129957891145,Chitamangiy,father
σύνδουλος,148,unigram,masculine,accusative,plural,tamu,1.2125536087908515,tamu,"fellow-servant, colleague"
σύνδουλος,97,unigram,masculine,accusative,singular,runguyem,1.458175639321354,runguyem,"fellow-servant, colleague"
σύνδουλος,330,unigram,masculine,nominative,plural,taganan,1.0125664046065326,taganan,"fellow-servant, colleague"
σύνδουλος,121,unigram,masculine,nominative,singular,ragbug,1.0187949047097629,ragbug,"fellow-servant, colleague"
ἀγρός,341,unigram,masculine,accusative,plural,yungi,1.7560158574290343,yungi,field
ἀγρός,46,unigram,masculine,accusative,singular,bangi,1.2765725471037888,bangi,field
δάκτυλος,181,unigram,masculine,accusative,singular,bey,1.0595448471241755,bey,finger
ἰχθύς,157,unigram,masculine,accusative,plural,nig,1.231537504803006,nig,fish
ἰχθύς,196,unigram,masculine,accusative,singular,nig,1.517855045195032,nig,fish
δίκτυον,115,unigram,neuter,accusative,plural,nug,2.007530797585108,nug,fishing net
δίκτυον,206,unigram,neuter,accusative,singular,nig,1.077322078136464,nig,fishing net
δίκτυον,254,unigram,neuter,nominative,singular,mogchoth,1.1063128009036491,mogchoth,fishing net
τροφή,256,unigram,feminine,accusative,plural,iyed,1.3437650023922838,iyed,food
τροφή,337,unigram,feminine,accusative,singular,garad,1.142113775239872,garad,food
πούς,245,unigram,masculine,accusative,plural,rifrif,1.542889233463579,rifrif,foot
πούς,119,unigram,masculine,accusative,singular,maad,1.337376195173065,maad,foot
καρπός,187,unigram,masculine,accusative,plural,wom,1.5583677882880222,wom,"fruit, crop, harvest"
καρπός,241,unigram,masculine,accusative,singular,wom,1.4403135108560805,wom,"fruit, crop, harvest"
γενεά,242,unigram,feminine,accusative,singular,daba,1.2814519260165749,daba,generation
γενεά,324,unigram,feminine,nominative,plural,mfen,1.9999486339918595,mfen,generation
γενεά,153,unigram,feminine,nominative,singular,!,1.2925800746244327,!,generation
δῶρον,315,unigram,neuter,accusative,plural,rorad,1.2619775297470015,rorad,gift
δῶρον,167,unigram,neuter,accusative,singular,altar,1.7693290308433738,altar,gift
ἡγεμών,174,unigram,masculine,accusative,plural,pufthin,1.0908918692780103,pufthin,"governor, ruler"
ἡγεμών,15,unigram,masculine,accusative,singular,balyangan,1.04412379902838,balyangan,"governor, ruler"
σταφυλή,351,unigram,feminine,accusative,singular,makenken,1.0960524252565438,makenken,grapes
ἀσπασμός,329,unigram,masculine,accusative,plural,market,1.0336147977971353,market,greeting
ἀσπασμός,175,unigram,masculine,accusative,singular,mithmith,1.2555387914136698,mithmith,greeting
ὁδηγός,7,unigram,masculine,nominative,plural,wol,1.035421386489053,wol,guide
ὁδηγός,4,unigram,masculine,nominative,singular,pow,1.0523635228796189,pow,guide
χείρ,319,unigram,feminine,accusative,plural,pa,2.8779766349394085,pa,hand
χείρ,230,unigram,feminine,accusative,singular,pa,1.5905509433898817,pa,hand
κεφαλή,214,unigram,feminine,accusative,singular,lolugen,1.7165432157427565,lolugen,head
στάχυς,215,unigram,masculine,accusative,plural,wheat,1.5101446778452432,wheat,head of grain
καρδία,40,unigram,feminine,accusative,plural,ndakurir,1.1065266994933705,ndakurir,heart
καρδία,293,unigram,feminine,accusative,singular,laniyan,1.062659315116579,laniyan,heart
καρδία,343,unigram,feminine,nominative,plural,Rran,1.059697715599924,Rran,heart
καρδία,198,unigram,feminine,nominative,singular,lanin,2.557501339827668,lanin,heart
οὐρανός,10,unigram,masculine,accusative,plural,dove,1.1071064421787675,dove,"heaven, sky"
οὐρανός,277,unigram,masculine,accusative,singular,tharmiy,1.2898403904971067,tharmiy,"heaven, sky"
οὐρανός,355,unigram,masculine,nominative,plural,yugni,1.2142128843575348,yugni,"heaven, sky"
οὐρανός,204,unigram,masculine,nominative,singular,Tharmiy,1.4818152199325438,Tharmiy,"heaven, sky"
ὥρα,300,unigram,feminine,nominative,plural,awa,1.0597108862300504,awa,hour
ὥρα,30,unigram,feminine,nominative,singular,taw,1.3916086898811408,taw,hour
οἰκία,159,unigram,feminine,accusative,plural,ppin,1.2689909792203418,ppin,house
οἰκία,334,unigram,feminine,accusative,singular,naun,4.303423158915538,naun,house
οἶκος,288,unigram,masculine,accusative,plural,fekeg,1.4816233623534112,fekeg,"house, home"
οἶκος,26,unigram,masculine,accusative,singular,tabinaw,1.2460412923218769,tabinaw,"house, home"
κριτής,314,unigram,masculine,nominative,plural,gachalpmed,1.0595416318177244,gachalpmed,judge
κριτής,169,unigram,masculine,nominative,singular,oloboch,1.1878568639588625,oloboch,judge
κλείς,92,unigram,feminine,accusative,plural,kiy,1.1613026128296644,kiy,key
βασιλεύς,113,unigram,masculine,accusative,plural,pufthin,1.0910876958676747,pufthin,king
βασιλεύς,67,unigram,masculine,accusative,singular,pilung,2.0438058722199424,pilung,king
βασιλεία,164,unigram,feminine,accusative,singular,gagiyeg,2.4764270280668352,gagiyeg,kingdom
κόπος,207,unigram,masculine,accusative,plural,kirebnag,1.2202871309273131,kirebnag,"labour, work, trouble, difficulty"
κόπος,95,unigram,masculine,accusative,singular,yugu,1.0225481487294268,yugu,"labour, work, trouble, difficulty"
λύχνος,239,unigram,masculine,nominative,singular,magal,1.8157817594511645,magal,lamp
κλῆρος,105,unigram,masculine,accusative,plural,girngiy,1.2929149672790816,girngiy,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,girngiy,1.1682369101002867,girngiy,"lots (casting of lots), inheritance"
ἄνθρωπος,303,unigram,masculine,accusative,plural,girdi,1.3131289641049002,girdi,man
ἄνθρωπος,267,unigram,masculine,accusative,singular,alitnag,1.5042832315532977,alitnag,man
ἄνθρωπος,125,unigram,masculine,nominative,plural,girdi,1.338400154144342,girdi,man
ἄνθρωπος,180,unigram,masculine,nominative,singular,mo,1.149319833903233,mo,man
ἀνήρ,260,unigram,masculine,accusative,singular,pumo,1.7606262799315482,pumo,"man, husband"
ἀνήρ,151,unigram,masculine,nominative,plural,pumo,1.3436938424635163,pumo,"man, husband"
ἀνήρ,247,unigram,masculine,nominative,singular,mo,1.1727141681008904,mo,"man, husband"
μνᾶ,306,unigram,feminine,accusative,plural,gol,1.1434278378490472,gol,mina (about 100 days' wages)
μνᾶ,16,unigram,feminine,accusative,singular,nragag,1.2378293523500483,nragag,mina (about 100 days' wages)
μήτηρ,286,unigram,feminine,accusative,singular,chitiningin,2.5206910227657597,chitiningin,mother
ὄρος,225,unigram,neuter,accusative,plural,burey,1.8866702817797696,burey,mountain
ὄρος,275,unigram,neuter,accusative,singular,burey,1.1487336810378894,burey,mountain
μύρον,96,unigram,neuter,accusative,plural,ngay.Me,1.1613810574337249,ngay.Me,myrrh
μύρον,32,unigram,neuter,accusative,singular,dakenag,1.0595609466359637,dakenag,myrrh
ὄνομα,41,unigram,neuter,accusative,singular,tunguy,1.267977265917777,tunguy,name
ὄνομα,111,unigram,neuter,nominative,plural,fithingmed,1.2388312291556534,fithingmed,name
ὄνομα,261,unigram,neuter,nominative,singular,fithingan,2.1153920736777168,fithingan,name
ἔθνος,237,unigram,neuter,accusative,plural,nam,2.410805088528897,nam,nation
ἔθνος,199,unigram,neuter,accusative,singular,mael,1.0190341770014977,mael,nation
ἔθνος,309,unigram,neuter,nominative,plural,urngin,1.1791206444211673,urngin,nation
ἔθνος,31,unigram,neuter,nominative,singular,nam,1.3738571625905056,nam,nation
νύξ,192,unigram,feminine,accusative,plural,neap,1.050269685772444,neap,night
νύξ,255,unigram,feminine,accusative,singular,Nder,1.1063085311531773,Nder,night
ὅρκος,68,unigram,masculine,accusative,plural,eowchen,1.0756591775168702,eowchen,oath
ὅρκος,274,unigram,masculine,accusative,singular,chuwegdad,1.0441088591276242,chuwegdad,oath
παραβολή,271,unigram,feminine,accusative,plural,fanathin,2.8383904826205177,fanathin,parable
παραβολή,231,unigram,feminine,accusative,singular,fanathin,4.187120276189422,fanathin,parable
μέρος,354,unigram,neuter,accusative,plural,nug,1.8103111003900945,nug,part
μέρος,59,unigram,neuter,accusative,singular,nnochiyang,1.4568903211625526,nnochiyang,part
μαργαρίτης,43,unigram,masculine,accusative,singular,churuwo,1.55816868147848,churuwo,pearls
τόπος,302,unigram,masculine,accusative,singular,gin,1.4370061390739017,gin,place
πρωτοκλισία,42,unigram,feminine,accusative,singular,fel,1.0099104495105815,fel,place of honor
ὄφις,356,unigram,masculine,accusative,plural,yub,1.1613374356247497,yub,poison
ὄφις,112,unigram,masculine,accusative,singular,porchoyog,2.3233678684241457,porchoyog,poison
σκεῦος,143,unigram,neuter,accusative,plural,chugum,1.0229068825279235,chugum,"possession, object, thing, jar, vessel"
σκεῦος,266,unigram,neuter,accusative,singular,daki,1.6401337574180173,daki,"possession, object, thing, jar, vessel"
σκεῦος,135,unigram,neuter,nominative,plural,chugum,1.3366222808534771,chugum,"possession, object, thing, jar, vessel"
