lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2077_translation,english_translation
θεός,111,unigram,masculine,accusative,singular,Tupana,2.8610117290462513,Tupana,God
θεός,26,unigram,masculine,nominative,plural,—Tupana,1.0660684690052171,—Tupana,God
θεός,170,unigram,masculine,nominative,singular,Tupana,4.0774080942815205,Tupana,God
κύριος,112,unigram,masculine,nominative,singular,ricarihuate,2.112565582447661,ricarihuate,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,lana'aquéjami,1.093460495848689,lana'aquéjami,Scripture
γραφή,44,unigram,feminine,accusative,singular,chuhuá.,1.0018135444806937,chuhuá.,Scripture
γραφή,218,unigram,feminine,nominative,plural,me'etení,1.283734842222927,me'etení,Scripture
γραφή,270,unigram,feminine,nominative,singular,lana'aquéjami,1.5776985967075454,lana'aquéjami,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,ne'ejnajé,1.2484984348622834,ne'ejnajé,angel
ἄγγελος,71,unigram,masculine,accusative,singular,pipé,1.2787347823056257,pipé,angel
ἄγγελος,42,unigram,masculine,nominative,plural,hua'atéjena,1.3478106167334882,hua'atéjena,angel
ἄγγελος,92,unigram,masculine,nominative,singular,hua'atéjeri,1.0240186963545066,hua'atéjeri,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,huacára'acarena,1.2806107880130058,huacára'acarena,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,carihuate,1.0960817954296525,carihuate,apostle
ἐξουσία,161,unigram,feminine,accusative,singular,nomácoloje,1.2528734264416082,nomácoloje,authority
βρέφος,13,unigram,neuter,accusative,plural,nahuíyo,1.0354255198080204,nahuíyo,babies
βρέφος,269,unigram,neuter,accusative,singular,a'acuná,1.0564281412265626,a'acuná,babies
ἀποθήκη,224,unigram,feminine,accusative,plural,a'ajnejí,1.0028316586299382,a'ajnejí,barn
ἀποθήκη,60,unigram,feminine,accusative,singular,riñacarelana,1.0938504734635317,riñacarelana,barn
φραγμός,193,unigram,masculine,accusative,plural,namano'otachi,1.096057314542422,namano'otachi,"barrier, wall"
ἀρχή,149,unigram,feminine,accusative,singular,Nuqueño'ocá,1.1062845238338443,Nuqueño'ocá,beginning
ζώνη,142,unigram,feminine,accusative,plural,Ijña'aniya,1.0564211888924169,Ijña'aniya,belt
βλασφημία,168,unigram,feminine,nominative,plural,namanaicho,1.1822491665298749,namanaicho,blasphemy
βλασφημία,72,unigram,feminine,nominative,singular,namanaicho,1.1822491665298749,namanaicho,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,iyáma'acu,1.0648687290883774,iyáma'acu,boat
πλοῖον,256,unigram,neuter,accusative,singular,jita,2.802381869624142,jita,boat
πλοῖον,189,unigram,neuter,nominative,singular,jita,1.2619853102658862,jita,boat
σῶμα,177,unigram,neuter,nominative,plural,Rihuacajé,1.1758391005817364,Rihuacajé,body
σῶμα,53,unigram,neuter,nominative,singular,inajlo,1.3888514657881126,inajlo,body
κλῆμα,123,unigram,neuter,nominative,singular,nujhua'atéjena,1.1838808419654732,nujhua'atéjena,branch
ἄρτος,260,unigram,masculine,accusative,plural,pan,2.0855762394576343,pan,bread
ἄρτος,284,unigram,masculine,accusative,singular,pan,1.7271276837152123,pan,bread
ἄρτος,128,unigram,masculine,nominative,plural,a'ajnejí,1.5521025430029798,a'ajnejí,bread
ἄρτος,36,unigram,masculine,nominative,singular,A'ajnejí,1.4749457135234036,A'ajnejí,bread
ἀδελφός,249,unigram,masculine,accusative,plural,nate'eré,1.0278767718410766,nate'eré,brother
ἀδελφός,102,unigram,masculine,accusative,singular,re'ehué,1.6632071255356364,re'ehué,brother
ἀδελφός,95,unigram,masculine,nominative,plural,noló,1.0434869372950422,noló,brother
ἀδελφός,191,unigram,masculine,nominative,singular,e'ehué,1.5029330993730068,e'ehué,brother
στῆθος,236,unigram,neuter,accusative,singular,pipinánajlo,1.389935428101457,pipinánajlo,"chest, breast"
ἀρχιερεύς,200,unigram,masculine,accusative,plural,sacerdótena,1.4857809168477436,sacerdótena,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,huacára'ajeño,1.2026477032105631,huacára'ajeño,chief priest
ἀρχιερεύς,205,unigram,masculine,nominative,singular,sacerdótena,1.3076193733444457,sacerdótena,chief priest
παῖς,196,unigram,masculine,accusative,plural,yuhuaná,1.3472202264044002,yuhuaná,child
τέκνον,278,unigram,neuter,accusative,plural,nachi'iná,1.0357826167991446,nachi'iná,child
τέκνον,147,unigram,neuter,accusative,singular,nachi'iná,1.0388541614657705,nachi'iná,child
τέκνον,14,unigram,neuter,nominative,plural,nachi'iná,1.041320363453906,nachi'iná,child
παιδίον,12,unigram,neuter,accusative,plural,yuhuaná,1.1570715825120603,yuhuaná,child
παιδίον,77,unigram,neuter,accusative,singular,to'ojmá,1.1402665921569406,to'ojmá,child
παιδίον,140,unigram,neuter,nominative,plural,yuhuaná,1.4761258678463383,yuhuaná,child
παιδίον,37,unigram,neuter,nominative,singular,namujlúca'acaloje,1.6929214817855438,namujlúca'acaloje,child
πόλις,150,unigram,feminine,accusative,plural,pajimila,1.860607496361509,pajimila,city
πόλις,56,unigram,feminine,accusative,singular,pajimila,2.219388994730082,pajimila,city
πύλη,167,unigram,feminine,nominative,singular,richuhuá,1.0441038887271343,richuhuá,city gate
χιτών,97,unigram,masculine,accusative,plural,chuja,1.3232958035431146,chuja,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,Pa,1.329732168079635,Pa,"clothing, undergarments"
ἱμάτιον,109,unigram,neuter,accusative,plural,na'arumacá,1.3050699595463515,na'arumacá,coat
ἱμάτιον,108,unigram,neuter,accusative,singular,a'arumacaji,1.7242181962620198,a'arumacaji,coat
ἐντολή,68,unigram,feminine,accusative,singular,ila'acáloje,1.1987314294459812,ila'acáloje,commandment
συνέδριον,264,unigram,neuter,accusative,plural,ihuacára'ajeño,1.4983691242609494,ihuacára'ajeño,council
συνέδριον,46,unigram,neuter,accusative,singular,sacerdótena,1.0484317892396613,sacerdótena,council
χώρα,239,unigram,feminine,accusative,singular,ejo,1.0226324043792694,ejo,"country, countryside"
ὄχλος,50,unigram,masculine,accusative,plural,',1.040680736644261,',crowd
ὄχλος,8,unigram,masculine,accusative,singular,ina'uqué,1.1049885651809592,ina'uqué,crowd
ὄχλος,84,unigram,masculine,nominative,plural,ina'uqué,1.312951871686214,ina'uqué,crowd
ὄχλος,232,unigram,masculine,nominative,singular,ina'uqué,1.06237352296479,ina'uqué,crowd
θυγάτηρ,259,unigram,feminine,nominative,singular,nutu,1.069218462983955,nutu,daughter
ἡμέρα,64,unigram,feminine,accusative,plural,cala,3.0889331690599917,cala,day
ἡμέρα,73,unigram,feminine,accusative,singular,Hue'echú,1.2705729430854058,Hue'echú,day
ἡμέρα,2,unigram,feminine,nominative,plural,na'ajné,1.247297748548448,na'ajné,day
ἡμέρα,58,unigram,feminine,nominative,singular,muní,1.0970622784318744,muní,day
δαιμόνιον,28,unigram,neuter,accusative,plural,jiñana,1.2362273957628158,jiñana,demon
δαιμόνιον,273,unigram,neuter,accusative,singular,pechu,1.3035775651679573,pechu,demon
δαιμόνιον,157,unigram,neuter,nominative,plural,jiñana,1.7840913545204573,jiñana,demon
δαιμόνιον,139,unigram,neuter,nominative,singular,jiñá,1.908707070178301,jiñá,demon
δηνάριον,252,unigram,neuter,accusative,plural,lehuérichari,1.561231049190252,lehuérichari,denarius (about a day's wages)
δηνάριον,130,unigram,neuter,accusative,singular,i'imacánajlo,1.049969525702324,i'imacánajlo,denarius (about a day's wages)
μαθητής,145,unigram,masculine,accusative,plural,ra'apiyatéjenajlo,1.2252908840155716,ra'apiyatéjenajlo,disciple
μαθητής,279,unigram,masculine,accusative,singular,ra'apiyateje,1.1885090642178144,ra'apiyateje,disciple
μαθητής,227,unigram,masculine,nominative,plural,ra'apiyatéjena,4.015363635202657,ra'apiyatéjena,disciple
μαθητής,277,unigram,masculine,nominative,singular,ja'apiyateje,2.7656709130084365,ja'apiyateje,disciple
νόσος,63,unigram,feminine,accusative,singular,nayaripune,1.3326578256218622,nayaripune,disease
περιστερά,83,unigram,feminine,accusative,plural,piracana,1.0539589552557604,piracana,dove
περιστερά,48,unigram,feminine,accusative,singular,Túcu'uchi,1.1634754434391563,Túcu'uchi,dove
οὖς,122,unigram,neuter,accusative,plural,que'ejhuirúnajlo,1.7168264649530756,que'ejhuirúnajlo,ear
οὖς,231,unigram,neuter,accusative,singular,ri'ijhuí,1.4876070662317664,ri'ijhuí,ear
σεισμός,162,unigram,masculine,nominative,plural,ñaca'ajico,1.044106373330679,ñaca'ajico,"earthquakes, storm"
σεισμός,55,unigram,masculine,nominative,singular,í,1.2459066844224425,í,"earthquakes, storm"
τέλος,29,unigram,neuter,accusative,plural,quemacá.E,1.0961112485594913,quemacá.E,end
τέλος,225,unigram,neuter,accusative,singular,ejená,1.4384759752586072,ejená,end
αἰών,197,unigram,masculine,accusative,plural,rácho'olajo,1.096185247111637,rácho'olajo,eternity
αἰών,250,unigram,masculine,accusative,singular,hua'ajini,1.161316837548144,hua'ajini,eternity
ὀφθαλμός,20,unigram,masculine,accusative,plural,mejlurú,1.2258933510459902,mejlurú,eye
λιμός,5,unigram,feminine,nominative,plural,ñaca'ajico,1.0595416318177244,ñaca'ajico,famine
γεωργός,206,unigram,masculine,nominative,plural,rimena,1.4737167911909743,rimena,"farmer, tenant"
πατήρ,251,unigram,masculine,accusative,singular,Nora'apá,5.1047418183489786,Nora'apá,father
πατήρ,258,unigram,masculine,nominative,plural,chuna,3.0877452125745117,chuna,father
πατήρ,151,unigram,masculine,nominative,singular,Nora'apá,5.165063184536726,Nora'apá,father
σύνδουλος,261,unigram,masculine,nominative,plural,nacarihuátejlo,1.106276804395426,nacarihuátejlo,"fellow-servant, colleague"
ἀγρός,272,unigram,masculine,accusative,plural,nejena,1.1716669580749448,nejena,field
δάκτυλος,144,unigram,masculine,accusative,singular,yá'aca,1.6778299694714167,yá'aca,finger
ἰχθύς,125,unigram,masculine,accusative,plural,iyajmela,1.1168436344860289,iyajmela,fish
δίκτυον,91,unigram,neuter,accusative,plural,nahuenare,2.3508250162418767,nahuenare,fishing net
δίκτυον,159,unigram,neuter,accusative,singular,jíñana,1.2896416872908505,jíñana,fishing net
τροφή,198,unigram,feminine,accusative,plural,nu'urachi,1.0595448471241755,nu'urachi,food
πούς,192,unigram,masculine,accusative,plural,naquiyá,1.3964482799078477,naquiyá,foot
πούς,94,unigram,masculine,accusative,singular,ja'acano,1.0596518186078558,ja'acano,foot
καρπός,148,unigram,masculine,accusative,plural,richa,1.3692582050397564,richa,"fruit, crop, harvest"
καρπός,190,unigram,masculine,accusative,singular,richa,1.605086835300779,richa,"fruit, crop, harvest"
πλήρωμα,221,unigram,neuter,accusative,plural,pu'uteno,1.0439984127205653,pu'uteno,fullness
πλήρωμα,268,unigram,neuter,accusative,singular,jiyo'otaro,1.0595352057902494,jiyo'otaro,fullness
γενεά,222,unigram,feminine,accusative,plural,iphájeño,1.2874806372619416,iphájeño,generation
γενεά,121,unigram,feminine,nominative,singular,—¡Meque,1.0652795494355232,—¡Meque,generation
δῶρον,132,unigram,neuter,accusative,singular,Tupánajlo,2.162534315952496,Tupánajlo,gift
ἡγεμών,137,unigram,masculine,accusative,plural,najña'ajé,1.5867119778473144,najña'ajé,"governor, ruler"
ἡγεμών,10,unigram,masculine,accusative,singular,numajlo,1.2126256018072978,numajlo,"governor, ruler"
ἀσπασμός,138,unigram,masculine,accusative,singular,cahuitari,1.161346151680032,cahuitari,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,i'imacare,1.0573356090992758,i'imacare,guide
θρίξ,176,unigram,feminine,nominative,singular,ila'ajico,2.608259511202723,ila'ajico,hair
χείρ,253,unigram,feminine,accusative,plural,riyáte'ela,2.3493989134820032,riyáte'ela,hand
χείρ,180,unigram,feminine,accusative,singular,riyáte'ela,2.5843296015841193,riyáte'ela,hand
στάχυς,166,unigram,masculine,accusative,plural,Natojro,1.0441014053159638,Natojro,head of grain
καρδία,30,unigram,feminine,accusative,plural,pala'acóloje,1.1065266994933705,pala'acóloje,heart
καρδία,234,unigram,feminine,accusative,singular,ijnú,1.7048085943075433,ijnú,heart
καρδία,274,unigram,feminine,nominative,plural,huajátacajo,1.059697715599924,huajátacajo,heart
οὐρανός,217,unigram,masculine,accusative,singular,je'echú,1.8044562073466333,je'echú,"heaven, sky"
ὥρα,23,unigram,feminine,nominative,singular,rená,2.1255234799889977,rená,hour
οἰκία,126,unigram,feminine,accusative,plural,nañacaré,1.0121848015146762,nañacaré,house
οἰκία,265,unigram,feminine,accusative,singular,riñacaré,1.7747767069976803,riñacaré,house
οἶκος,19,unigram,masculine,accusative,singular,ejo,1.0323038147282744,ejo,"house, home"
βασιλεύς,89,unigram,masculine,accusative,plural,najña'ajé,1.5758909192507609,najña'ajé,king
βασιλεύς,51,unigram,masculine,accusative,singular,ihuátaca,1.2407591619379856,ihuátaca,king
βασιλεία,129,unigram,feminine,accusative,singular,le'ejepelárunajlo,1.0115239608421331,le'ejepelárunajlo,kingdom
κόπος,160,unigram,masculine,accusative,plural,iqui'ichá,1.1159860594649635,iqui'ichá,"labour, work, trouble, difficulty"
κλῆρος,1,unigram,masculine,accusative,singular,ra'arumacami,1.2949834005204734,ra'arumacami,"lots (casting of lots), inheritance"
ἄνθρωπος,241,unigram,masculine,accusative,plural,jimichi,1.0230383696177607,jimichi,man
ἄνθρωπος,208,unigram,masculine,accusative,singular,la'alá,1.1534714975668308,la'alá,man
ἄνθρωπος,98,unigram,masculine,nominative,plural,ina'uqué,1.3204254576701326,ina'uqué,man
ἄνθρωπος,143,unigram,masculine,nominative,singular,—Pajluhuaja,1.173476259576259,—Pajluhuaja,man
ἀνήρ,202,unigram,masculine,accusative,singular,rumá,1.2584229398091482,rumá,"man, husband"
ἀνήρ,119,unigram,masculine,nominative,plural,achiñana,1.157897476256667,achiñana,"man, husband"
ἀνήρ,194,unigram,masculine,nominative,singular,ri'imacá,1.0002631918724445,ri'imacá,"man, husband"
μνᾶ,244,unigram,feminine,accusative,plural,cien,1.1704222740714652,cien,mina (about 100 days' wages)
πρωτοκαθεδρία,87,unigram,feminine,accusative,plural,yá'acano,1.0002476391341957,yá'acano,"most important seat, seat of honour"
πρωτοκαθεδρία,32,unigram,feminine,accusative,singular,yá'acano,1.1613200159490844,yá'acano,"most important seat, seat of honour"
μήτηρ,80,unigram,feminine,accusative,plural,Nañacaré,1.096329813773948,Nañacaré,mother
μήτηρ,228,unigram,feminine,accusative,singular,raló,1.5260653533382278,raló,mother
ὄρος,175,unigram,neuter,accusative,plural,ipuré,1.038296070344135,ipuré,mountain
ὄρος,215,unigram,neuter,accusative,singular,yenuri,1.5906699469107632,yenuri,mountain
ὄνομα,31,unigram,neuter,accusative,singular,no'opiyá,1.4757744299771098,no'opiyá,name
ὄνομα,203,unigram,neuter,nominative,singular,Rií,1.3616881606424722,Rií,name
ἔθνος,188,unigram,neuter,accusative,plural,ne'emajé,1.9239108177965003,ne'emajé,nation
ἔθνος,155,unigram,neuter,accusative,singular,nócajeño,1.0860962848669156,nócajeño,nation
ἔθνος,247,unigram,neuter,nominative,plural,natucumó,1.2549992625139426,natucumó,nation
ἔθνος,24,unigram,neuter,nominative,singular,nócajeño,1.5243839927708709,nócajeño,nation
νύξ,153,unigram,feminine,accusative,plural,cala,1.0509572819842672,cala,night
ὅρκος,52,unigram,masculine,accusative,plural,quehuaca,1.2131020053078974,quehuaca,oath
ὅρκος,214,unigram,masculine,accusative,singular,hua'ajútami,1.161328723715616,hua'ajútami,oath
βοῦς,124,unigram,masculine,accusative,plural,apiyácajeño,1.237729583166553,apiyácajeño,ox
παραβολή,211,unigram,feminine,accusative,plural,yucu,1.5566649458429234,yucu,parable
παραβολή,181,unigram,feminine,accusative,singular,yucu,1.8238993543316695,yucu,parable
μέρος,283,unigram,neuter,accusative,plural,te'eré,1.7076167447339372,te'eré,part
μέρος,45,unigram,neuter,accusative,singular,panacu,1.1580936116377147,panacu,part
μαργαρίτης,183,unigram,masculine,accusative,plural,nojé,1.1862342732875082,nojé,pearls
μαργαρίτης,34,unigram,masculine,accusative,singular,riphata,1.161311312321613,riphata,pearls
τόπος,223,unigram,masculine,accusative,plural,ñaca'ajico,1.044216892134351,ñaca'ajico,place
τόπος,240,unigram,masculine,accusative,singular,aphinami,1.2406515692161824,aphinami,place
πρωτοκλισία,226,unigram,feminine,accusative,plural,yá'acano,1.156388616225158,yá'acano,place of honor
πρωτοκλισία,33,unigram,feminine,accusative,singular,ñáca'ajori,1.2322303417468596,ñáca'ajori,place of honor
ὄφις,86,unigram,masculine,accusative,singular,jeí,1.6315094911598191,jeí,poison
σκεῦος,207,unigram,neuter,accusative,singular,najña'acá,1.0441088591276242,najña'acá,"possession, object, thing, jar, vessel"
δύναμις,88,unigram,feminine,accusative,plural,la'alare,1.2773767749695797,la'alare,"power, ability, miracle"
δύναμις,41,unigram,feminine,accusative,singular,rinacojé,1.0970348105936765,rinacojé,"power, ability, miracle"
δύναμις,69,unigram,feminine,nominative,plural,nacaje,1.0771576473727,nacaje,"power, ability, miracle"
δύναμις,96,unigram,feminine,nominative,singular,natámina,1.1254094142941369,natámina,"power, ability, miracle"
ἱερεύς,17,unigram,masculine,nominative,plural,nahuatána'alaje,1.2126135885362554,nahuatána'alaje,priest
φυλακή,22,unigram,feminine,accusative,singular,huajáquelana,2.284784400552337,huajáquelana,prison
προφήτης,54,unigram,masculine,accusative,plural,chuna,1.1700026316889052,chuna,prophet
προφήτης,158,unigram,masculine,accusative,singular,ja'apátajeri,1.7900190869504007,ja'apátajeri,prophet
προφήτης,182,unigram,masculine,nominative,plural,ja'apátajeñomi,1.4283819654138312,ja'apátajeñomi,prophet
προφήτης,216,unigram,masculine,nominative,singular,ja'apátajeri,1.8315630198031585,ja'apátajeri,prophet
βαλλάντιον,16,unigram,neuter,accusative,singular,itulané,1.0564246642068011,itulané,purse
λῃστής,282,unigram,masculine,accusative,singular,nujña'ajé,1.0441213060493943,nujña'ajé,robber
