lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2046_translation,english_translation
θεός,517,unigram,masculine,accusative,singular,Tuhanin,1.6104458281683607,Tuhanin,God
θεός,584,unigram,masculine,nominative,singular,Tuhanin,4.0247797814516,Tuhanin,God
κύριος,518,unigram,masculine,nominative,singular,amunen,1.4158977712794643,amunen,"Lord, lord, master"
γραφή,513,unigram,feminine,accusative,plural,kitabin,1.4752115505759578,kitabin,Scripture
γραφή,453,unigram,feminine,accusative,singular,kitab,1.007532137970856,kitab,Scripture
γραφή,631,unigram,feminine,nominative,plural,katumanan,1.3021910759883397,katumanan,Scripture
γραφή,681,unigram,feminine,nominative,singular,kitabin,1.2348530516566945,kitabin,Scripture
ἄγγελος,487,unigram,masculine,accusative,plural,nipun,1.0793396471378534,nipun,angel
ἄγγελος,450,unigram,masculine,nominative,plural,malaꞌikat,1.3170503059837817,malaꞌikat,angel
ἄγγελος,497,unigram,masculine,nominative,singular,malaꞌikatin,1.212269021568822,malaꞌikatin,angel
ἐξουσία,467,unigram,feminine,accusative,plural,nakuraꞌde,1.0962199599997684,nakuraꞌde,authority
ἐξουσία,574,unigram,feminine,accusative,singular,kapatut,2.5272397137827176,kapatut,authority
βρέφος,680,unigram,neuter,accusative,singular,pagpakanan,1.0441063733306788,pagpakanan,babies
ἀρχή,469,unigram,feminine,accusative,plural,nakuraꞌde,1.0961063339256685,nakuraꞌde,beginning
ἀρχή,556,unigram,feminine,accusative,singular,tagnaꞌ,1.638329900132629,tagnaꞌ,beginning
βλασφημία,439,unigram,feminine,accusative,plural,makaꞌampun,1.0595480639608463,makaꞌampun,blasphemy
βλασφημία,486,unigram,feminine,accusative,singular,Takalebi,1.0960768946513286,Takalebi,blasphemy
βλασφημία,582,unigram,feminine,nominative,plural,laꞌat,1.2998217915154762,laꞌat,blasphemy
πλοῖον,495,unigram,neuter,accusative,plural,bangkaꞌ,1.5892558767138065,bangkaꞌ,boat
πλοῖον,668,unigram,neuter,accusative,singular,bangkaꞌ,1.4045058733830393,bangkaꞌ,boat
πλοῖον,599,unigram,neuter,nominative,singular,bangkaꞌin,1.9576445096253965,bangkaꞌin,boat
σῶμα,461,unigram,neuter,nominative,singular,tibuꞌukan,1.1298362633726136,tibuꞌukan,body
κλῆμα,530,unigram,neuter,nominative,singular,teteg,1.5274683203161419,teteg,branch
ἄρτος,672,unigram,masculine,accusative,plural,pan,3.071782955671361,pan,bread
ἄρτος,695,unigram,masculine,accusative,singular,kinakan,2.127787290957704,kinakan,bread
ἄρτος,536,unigram,masculine,nominative,plural,kinakan,1.604565576344989,kinakan,bread
ἄρτος,444,unigram,masculine,nominative,singular,kinakan,2.3701803196389215,kinakan,bread
ἀδελφός,661,unigram,masculine,accusative,plural,pungtinaꞌinen,1.3005570992406852,pungtinaꞌinen,brother
ἀδελφός,508,unigram,masculine,accusative,singular,Yakub,1.0976820642399743,Yakub,brother
ἀδελφός,500,unigram,masculine,nominative,plural,magpungtinaꞌi,1.2479473995549824,magpungtinaꞌi,brother
ἀδελφός,604,unigram,masculine,nominative,singular,pungtinaꞌi,1.105160766281427,pungtinaꞌi,brother
στῆθος,649,unigram,neuter,accusative,singular,mamuddihan,1.2215366782138266,mamuddihan,"chest, breast"
ἀρχιερεύς,613,unigram,masculine,accusative,plural,imamin,1.4817187426668217,imamin,chief priest
ἀρχιερεύς,462,unigram,masculine,accusative,singular,nakuraꞌin,1.018886561189989,nakuraꞌin,chief priest
ἀρχιερεύς,507,unigram,masculine,nominative,plural,imamin,1.1676745628911123,imamin,chief priest
ἀρχιερεύς,617,unigram,masculine,nominative,singular,nakuraꞌin,1.1695127407783514,nakuraꞌin,chief priest
παῖς,607,unigram,masculine,accusative,plural,mākanakin,1.0178329331117844,mākanakin,child
τέκνον,688,unigram,neuter,accusative,plural,anaknen,1.0101024574273332,anaknen,child
τέκνον,566,unigram,neuter,nominative,singular,Totoꞌ,1.5139454032721977,Totoꞌ,child
παιδίον,427,unigram,neuter,accusative,plural,saggaꞌun,1.1228023056554892,saggaꞌun,child
παιδίον,483,unigram,neuter,accusative,singular,nakanak,1.012621373978123,nakanak,child
παιδίον,446,unigram,neuter,nominative,singular,pangandel,1.0825676752342803,pangandel,child
πόλις,557,unigram,feminine,accusative,plural,puweblo,2.0014075021415794,puweblo,city
πόλις,463,unigram,feminine,accusative,singular,puweblo,2.284706224217844,puweblo,city
πύλη,635,unigram,feminine,nominative,plural,langgalkun,1.0960622061228922,langgalkun,city gate
πύλη,581,unigram,feminine,nominative,singular,tarangkahin,1.1420874950503268,tarangkahin,city gate
χιτών,503,unigram,masculine,accusative,plural,badjuꞌ,1.7010893791853203,badjuꞌ,"clothing, undergarments"
χιτών,437,unigram,masculine,accusative,singular,badjuꞌnun,1.9577185461918991,badjuꞌnun,"clothing, undergarments"
ἱμάτιον,515,unigram,neuter,accusative,plural,semmek,1.164724380893754,semmek,coat
ἱμάτιον,514,unigram,neuter,accusative,singular,semmek,1.2268048390151611,semmek,coat
ἐντολή,477,unigram,feminine,accusative,plural,pangandaꞌakan,1.3123881878200199,pangandaꞌakan,commandment
ἐντολή,475,unigram,feminine,accusative,singular,pangandaꞌakan,1.6816683679333266,pangandaꞌakan,commandment
συνέδριον,676,unigram,neuter,accusative,plural,paglubakande,1.2101337302053305,paglubakande,council
συνέδριον,455,unigram,neuter,accusative,singular,magtipun,1.2292088444518876,magtipun,council
χώρα,653,unigram,feminine,accusative,singular,lahat,1.6817757541982752,lahat,"country, countryside"
ὄχλος,458,unigram,masculine,accusative,plural,mabanesin,3.8618829522597324,mabanesin,crowd
ὄχλος,422,unigram,masculine,accusative,singular,mabanesin,1.2080986758930323,mabanesin,crowd
ὄχλος,489,unigram,masculine,nominative,plural,mabanesin,1.5936463565830081,mabanesin,crowd
ὄχλος,645,unigram,masculine,nominative,singular,mabanesin,1.0196264113479279,mabanesin,crowd
θυγάτηρ,671,unigram,feminine,nominative,singular,mamissā,1.0794653343319434,mamissā,daughter
ἡμέρα,472,unigram,feminine,accusative,plural,bahangi,3.14638939527695,bahangi,day
ἡμέρα,417,unigram,feminine,nominative,plural,bahangi,1.0450655509703763,bahangi,day
ἡμέρα,465,unigram,feminine,nominative,singular,ellew,1.0634736785515853,ellew,day
δαιμόνιον,438,unigram,neuter,accusative,plural,seyitan,2.285028736459852,seyitan,demon
δαιμόνιον,684,unigram,neuter,accusative,singular,seyitan,1.3995156746726718,seyitan,demon
δαιμόνιον,568,unigram,neuter,nominative,plural,seyitanin,1.581964568674608,seyitanin,demon
δαιμόνιον,548,unigram,neuter,nominative,singular,seyitanin,1.0037034156934708,seyitanin,demon
δηνάριον,664,unigram,neuter,accusative,plural,utang,1.7541367785304043,utang,denarius (about a day's wages)
δηνάριον,538,unigram,neuter,accusative,singular,bali,1.0401905609608033,bali,denarius (about a day's wages)
μαθητής,552,unigram,masculine,accusative,plural,tindegnen,4.414414118462355,tindegnen,disciple
μαθητής,689,unigram,masculine,accusative,singular,kinalasahannen,1.518683534888482,kinalasahannen,disciple
μαθητής,640,unigram,masculine,nominative,plural,tindegnen,3.559877977848414,tindegnen,disciple
μαθητής,687,unigram,masculine,nominative,singular,tindeg,1.4222504163719032,tindeg,disciple
νόσος,471,unigram,feminine,accusative,singular,Pinakoleꞌ,1.116021673446089,Pinakoleꞌ,disease
περιστερά,488,unigram,feminine,accusative,plural,magdagang,1.3858308306357912,magdagang,dove
περιστερά,456,unigram,feminine,accusative,singular,assang,1.1029321735684015,assang,dove
οὖς,529,unigram,neuter,accusative,plural,pakalehun,1.3802127248360236,pakalehun,ear
οὖς,644,unigram,neuter,accusative,singular,Ine-ine,1.0178342721673117,Ine-ine,ear
