lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2066_translation,english_translation
θεός,354,unigram,masculine,accusative,plural,nmyenoo,1.1634492944761523,nmyenoo,God
θεός,143,unigram,masculine,accusative,singular,Chóó,1.1292376099557064,Chóó,God
θεός,34,unigram,masculine,nominative,plural,nmyenoo,1.1634492944761523,nmyenoo,God
θεός,223,unigram,masculine,nominative,singular,Lémi,1.0895838534434164,Lémi,God
κύριος,356,unigram,masculine,nominative,plural,Yedêni,1.0970894485985805,Yedêni,"Lord, lord, master"
κύριος,144,unigram,masculine,nominative,singular,lémi,2.0952947033851608,lémi,"Lord, lord, master"
γραφή,138,unigram,feminine,accusative,plural,Dmye,1.408976617536798,Dmye,Scripture
γραφή,54,unigram,feminine,accusative,singular,puku,1.3184224707812315,puku,Scripture
γραφή,282,unigram,feminine,nominative,plural,mgîmî,1.196977943528541,mgîmî,Scripture
γραφή,348,unigram,feminine,nominative,singular,yedê,1.3311012343544872,yedê,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,enjel,1.0183563426016633,enjel,angel
ἄγγελος,89,unigram,masculine,accusative,singular,ṉgada,1.0500981916898025,ṉgada,angel
ἄγγελος,50,unigram,masculine,nominative,plural,enjel,1.7216786590495672,enjel,angel
ἄγγελος,115,unigram,masculine,nominative,singular,enjel,1.3917220484037989,enjel,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,dyépi,2.8807359963645585,dyépi,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,dêp,1.1062947896655342,dêp,apostle
ἐξουσία,74,unigram,feminine,accusative,plural,anmyin,1.0495065153931,anmyin,authority
ἐξουσία,213,unigram,feminine,accusative,singular,anmyin,1.1526670703796718,anmyin,authority
βρέφος,20,unigram,neuter,accusative,plural,mbópó,1.161328723715616,mbópó,babies
βρέφος,346,unigram,neuter,accusative,singular,hósi,1.5901463137021383,hósi,babies
ἀποθήκη,73,unigram,feminine,accusative,singular,kéé,1.0556013005632443,kéé,barn
ἀρχή,195,unigram,feminine,accusative,singular,munmyenoo,1.1565283157060462,munmyenoo,beginning
ζώνη,188,unigram,feminine,accusative,plural,myenangmê,1.2188855385989048,myenangmê,belt
βλασφημία,38,unigram,feminine,accusative,plural,Ṉono,1.2413955238759296,Ṉono,blasphemy
βλασφημία,102,unigram,feminine,accusative,singular,Chóóchóó,1.1796323849615549,Chóóchóó,blasphemy
βλασφημία,221,unigram,feminine,nominative,plural,mêdaangmêwa,1.1188440400351527,mêdaangmêwa,blasphemy
πλοῖον,113,unigram,neuter,accusative,plural,dinki,1.4609639411551063,dinki,boat
πλοῖον,331,unigram,neuter,accusative,singular,dinki,2.681127389899186,dinki,boat
πλοῖον,256,unigram,neuter,nominative,plural,Dinki,1.01883842735644,Dinki,boat
πλοῖον,241,unigram,neuter,nominative,singular,dinki,1.4145747671981146,dinki,boat
σῶμα,231,unigram,neuter,nominative,plural,kmênê,1.12124758412876,kmênê,body
σῶμα,65,unigram,neuter,nominative,singular,lam,1.106120201995139,lam,body
κλῆμα,61,unigram,neuter,nominative,plural,any,1.115842393993232,any,branch
κλῆμα,162,unigram,neuter,nominative,singular,kpâlî,1.2337634107780402,kpâlî,branch
ἄρτος,335,unigram,masculine,accusative,plural,mbîdédi,2.066096819250642,mbîdédi,bread
ἄρτος,366,unigram,masculine,accusative,singular,mbîdédi,1.47176178736144,mbîdédi,bread
ἄρτος,171,unigram,masculine,nominative,plural,Yintoo,1.5136537774009289,Yintoo,bread
ἄρτος,43,unigram,masculine,nominative,singular,mbóó,1.1687621214750696,mbóó,bread
ἀδελφός,321,unigram,masculine,accusative,plural,mbwó,1.140245467792809,mbwó,brother
ἀδελφός,128,unigram,masculine,accusative,singular,mbwémi,1.2935096030265558,mbwémi,brother
ἀδελφός,119,unigram,masculine,nominative,plural,ghee,1.9839757786809464,ghee,brother
ἀδελφός,248,unigram,masculine,nominative,singular,mbwó,2.795552839129241,mbwó,brother
στῆθος,168,unigram,neuter,accusative,plural,yii,1.6997124514100594,yii,"chest, breast"
στῆθος,306,unigram,neuter,accusative,singular,A,1.1265039910228671,A,"chest, breast"
ἀρχιερεύς,261,unigram,masculine,accusative,plural,yiyé,1.135868614745409,yiyé,chief priest
ἀρχιερεύς,66,unigram,masculine,accusative,singular,Kayapas,1.4720034582105408,Kayapas,chief priest
ἀρχιερεύς,127,unigram,masculine,nominative,plural,yiyé,1.3140773692152996,yiyé,chief priest
ἀρχιερεύς,267,unigram,masculine,nominative,singular,yiyé,1.0781977318827871,yiyé,chief priest
παῖς,252,unigram,masculine,accusative,plural,nod,1.0183412235929028,nod,child
παῖς,52,unigram,masculine,accusative,singular,kêténi,1.2494493232483497,kêténi,child
τέκνον,358,unigram,neuter,accusative,plural,tp,1.3835435779554164,tp,child
τέκνον,193,unigram,neuter,accusative,singular,mbwó,1.2251148365162008,mbwó,child
τέκνον,21,unigram,neuter,nominative,plural,amye,1.1513703029222642,amye,child
τέκνον,206,unigram,neuter,nominative,singular,A,1.058943001182708,A,child
παιδίον,19,unigram,neuter,accusative,plural,dmââdîma,1.186621792389794,dmââdîma,child
παιδίον,96,unigram,neuter,accusative,singular,ghee,1.2198835107298385,ghee,child
παιδίον,44,unigram,neuter,nominative,singular,dmââdî,1.0057510599480193,dmââdî,child
πόλις,196,unigram,feminine,accusative,plural,aani,1.3335735081178048,aani,city
πόλις,69,unigram,feminine,accusative,singular,p,1.0176641160503679,p,city
πύλη,285,unigram,feminine,nominative,plural,T,1.1062708150644622,T,city gate
πύλη,220,unigram,feminine,nominative,singular,Máádini,1.195371299174539,Máádini,city gate
χιτών,123,unigram,masculine,accusative,plural,myomoni,1.2135834204843623,myomoni,"clothing, undergarments"
χιτών,35,unigram,masculine,accusative,singular,kpîdî,1.1028583781589087,kpîdî,"clothing, undergarments"
ἱμάτιον,141,unigram,neuter,accusative,plural,kpîdî,1.4635896443524932,kpîdî,coat
ἱμάτιον,140,unigram,neuter,accusative,singular,kpîdî,1.8089799842149652,kpîdî,coat
ἐντολή,87,unigram,feminine,accusative,plural,chââchââ,1.4319722057529285,chââchââ,commandment
ἐντολή,85,unigram,feminine,accusative,singular,dyuu,1.079096837595516,dyuu,commandment
συνέδριον,340,unigram,neuter,accusative,plural,Ngêpê,1.074771192860135,Ngêpê,council
συνέδριον,56,unigram,neuter,accusative,singular,nipi,1.113178457141771,nipi,council
χώρα,82,unigram,feminine,accusative,plural,ene,1.1159463047758016,ene,"country, countryside"
