lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_132_translation,english_translation
θεός,308,unigram,masculine,accusative,plural,Tam,1.3160344343962491,Tam,God
θεός,127,unigram,masculine,accusative,singular,Allah,2.3650706042231024,Allah,God
θεός,199,unigram,masculine,nominative,singular,Allahn,1.0698390534958224,Allahn,God
κύριος,128,unigram,masculine,nominative,singular,Nonowe,1.3494544607908885,Nonowe,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,imbibahon,1.0918087676760948,imbibahon,Scripture
γραφή,48,unigram,feminine,accusative,singular,isarusa.Hik,1.0166401752741618,isarusa.Hik,Scripture
γραφή,251,unigram,feminine,nominative,plural,atam,1.1300174099639109,atam,Scripture
γραφή,303,unigram,feminine,nominative,singular,imbibahon,1.3445774577830705,imbibahon,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,malaikat,1.4626704084565567,malaikat,angel
ἄγγελος,80,unigram,masculine,accusative,singular,hale,1.2536103510279824,hale,angel
ἄγγελος,44,unigram,masculine,nominative,plural,malaikat,4.537567269541329,malaikat,angel
ἄγγελος,103,unigram,masculine,nominative,singular,malaikat,3.2549681604567278,malaikat,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,ari-ari,1.2110977619496368,ari-ari,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,Lalihip,1.6198631834626205,Lalihip,apostle
ἐξουσία,66,unigram,feminine,accusative,plural,Hiniknisi,1.1604032204292956,Hiniknisi,authority
ἐξουσία,190,unigram,feminine,accusative,singular,ineyap,1.2590416287728623,ineyap,authority
βρέφος,301,unigram,neuter,accusative,singular,yinggig,1.5148816400592575,yinggig,babies
φραγμός,223,unigram,masculine,accusative,plural,ilan,1.0954034664104502,ilan,"barrier, wall"
φραγμός,107,unigram,masculine,accusative,singular,laharisi,1.0591029938321448,laharisi,"barrier, wall"
ἀρχή,68,unigram,feminine,accusative,plural,Hiniknisi,1.160238403567914,Hiniknisi,beginning
ζώνη,166,unigram,feminine,accusative,plural,hunuyugmuwon,1.095398876121712,hunuyugmuwon,belt
ζώνη,213,unigram,feminine,accusative,singular,nunggulig,1.095398876121712,nunggulig,belt
βλασφημία,29,unigram,feminine,accusative,plural,abug,1.0900384440055564,abug,blasphemy
βλασφημία,197,unigram,feminine,nominative,plural,pabi,1.1781073541768443,pabi,blasphemy
βλασφημία,81,unigram,feminine,nominative,singular,urukon,1.1016468142093034,urukon,blasphemy
πλοῖον,101,unigram,neuter,accusative,plural,kou,1.8481992826539035,kou,boat
πλοῖον,289,unigram,neuter,accusative,singular,kou,3.479981692115249,kou,boat
πλοῖον,230,unigram,neuter,nominative,plural,amulen,1.1604446599788334,amulen,boat
πλοῖον,215,unigram,neuter,nominative,singular,ik,1.060467526389856,ik,boat
σῶμα,58,unigram,neuter,nominative,singular,abirangge,1.31768300487481,abirangge,body
κλῆμα,54,unigram,neuter,nominative,plural,henemu,1.117906523855687,henemu,branch
κλῆμα,142,unigram,neuter,nominative,singular,kong,1.0637056579961477,kong,branch
ἄρτος,292,unigram,masculine,accusative,plural,suburu,1.2314005878428889,suburu,bread
ἄρτος,317,unigram,masculine,accusative,singular,suburu,2.6160025847626383,suburu,bread
ἄρτος,150,unigram,masculine,nominative,plural,aruma,1.038959022571698,aruma,bread
ἄρτος,35,unigram,masculine,nominative,singular,Suburu,1.4922288258480445,Suburu,bread
ἀδελφός,278,unigram,masculine,accusative,plural,ori,1.0034540124810991,ori,brother
ἀδελφός,116,unigram,masculine,accusative,singular,Yakobus,1.2594436638703268,Yakobus,brother
ἀδελφός,106,unigram,masculine,nominative,plural,nisinga,1.0170155454100147,nisinga,brother
ἀδελφός,221,unigram,masculine,nominative,singular,nare,1.0728294700778394,nare,brother
στῆθος,147,unigram,neuter,accusative,plural,unusurukmu,1.1781590917201523,unusurukmu,"chest, breast"
ἀρχιερεύς,234,unigram,masculine,accusative,plural,onowesi,1.49244625780498,onowesi,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,onowe,1.0320115856558116,onowe,chief priest
ἀρχιερεύς,115,unigram,masculine,nominative,plural,onowesi,1.6504784974560376,onowesi,chief priest
ἀρχιερεύς,238,unigram,masculine,nominative,singular,onowe,1.4079703252454363,onowe,chief priest
παῖς,226,unigram,masculine,accusative,plural,toron,1.1161544653116215,toron,child
παῖς,46,unigram,masculine,accusative,singular,miyaloho,1.1078636131605368,miyaloho,child
τέκνον,311,unigram,neuter,accusative,plural,umaliki,1.0736259061047082,umaliki,child
τέκνον,182,unigram,neuter,nominative,singular,Namloho,2.6348835439880047,Namloho,child
παιδίον,16,unigram,neuter,accusative,plural,per,1.1799803198876362,per,child
παιδίον,88,unigram,neuter,accusative,singular,malik,1.870694374548946,malik,child
παιδίον,164,unigram,neuter,nominative,plural,toron,1.1580621003232068,toron,child
παιδίον,37,unigram,neuter,nominative,singular,malik,1.2087867239597052,malik,child
πόλις,173,unigram,feminine,accusative,plural,pumbuk,1.6853455425847892,pumbuk,city
πόλις,62,unigram,feminine,accusative,singular,pumbuk,1.1821378307799582,pumbuk,city
πύλη,196,unigram,feminine,nominative,singular,haleg,1.1054596038005229,haleg,city gate
χιτών,111,unigram,masculine,accusative,plural,sum,1.0896056019227935,sum,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,suwahal,1.3910528057438194,suwahal,"clothing, undergarments"
ἱμάτιον,125,unigram,neuter,accusative,plural,nonggoloho,1.1438588880207743,nonggoloho,coat
