lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2073_translation,version_2074_translation,version_2075_translation,english_translation
θεός,383,unigram,masculine,accusative,plural,,,ọlọrun,Ọlọ́run,,God
θεός,156,unigram,masculine,accusative,singular,Ọlọrun,25.484274530893273,Ọlọrun,Ọlọ́run,Ọlọrun,God
θεός,34,unigram,masculine,nominative,plural,ọlọrun,2.5635427944475255,ọlọrun,Ọlọ́run,ọlọrun,God
θεός,243,unigram,masculine,nominative,singular,Ọlọrun,213.7763771123806,Ọlọrun,Ọlọ́run,Ọlọrun,God
κύριος,385,unigram,masculine,nominative,plural,oluwa,1.3899116091154717,,,oluwa,"Lord, lord, master"
κύριος,157,unigram,masculine,nominative,singular,Oluwa,11.339330253598153,Oluwa,Olúwa,Oluwa,"Lord, lord, master"
γραφή,151,unigram,feminine,accusative,plural,,,iwe-mimọ́,ìwé,Ìwé,Scripture
γραφή,59,unigram,feminine,accusative,singular,,,,ìwé,Ìwé,Scripture
γραφή,306,unigram,feminine,nominative,plural,,,iwe-mimọ́,Mímọ́,ṣẹ,Scripture
γραφή,377,unigram,feminine,nominative,singular,,,iwe-mimọ́,mímọ́,Ìwé,Scripture
ἄγγελος,116,unigram,masculine,accusative,plural,angẹli,13.322781167012725,angẹli,angẹli,angẹli,angel
ἄγγελος,98,unigram,masculine,accusative,singular,,,onṣẹ,síwájú,oníṣẹ́,angel
ἄγγελος,55,unigram,masculine,nominative,plural,angẹli,131.77321291352422,angẹli,angẹli,angẹli,angel
ἄγγελος,127,unigram,masculine,nominative,singular,Angẹli,1.3483994715265901,Angẹli,angẹli,Angẹli,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,aposteli,20.16487324035728,aposteli,aposteli,aposteli,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,,,Lòtọ,ọ̀gá,an,apostle
ἐξουσία,81,unigram,feminine,accusative,plural,,,,ṣàníyàn,àwíjàre,authority
ἐξουσία,231,unigram,feminine,accusative,singular,àṣẹ,16.766117472670118,aṣẹ,àṣẹ,àṣẹ,authority
βρέφος,19,unigram,neuter,accusative,plural,,,ọmọ-ọwọ,tọ̀,ọmọ-ọwọ́,babies
βρέφος,375,unigram,neuter,accusative,singular,,,ibujẹ,ibùjẹ,ọmọ-ọwọ́,babies
ἀποθήκη,314,unigram,feminine,accusative,plural,,,,àká,abà,barn
ἀποθήκη,80,unigram,feminine,accusative,singular,,,,àká,abà,barn
φραγμός,273,unigram,masculine,accusative,plural,,,,òpópó,Lọ,"barrier, wall"
φραγμός,132,unigram,masculine,accusative,singular,ìfúntí,1.1226080485698346,ifunti,ìfúntí,ìfúntí,"barrier, wall"
ἀρχή,84,unigram,feminine,accusative,plural,,,,ṣàníyàn,àwíjàre,beginning
ἀρχή,211,unigram,feminine,accusative,singular,ìbẹ̀rẹ̀,2.475555736342008,,,ìbẹ̀rẹ̀,beginning
ζώνη,202,unigram,feminine,accusative,plural,,,aṣuwọn,ìgbànú,idẹ,belt
ζώνη,262,unigram,feminine,accusative,singular,,,,Aṣọ,ẹṣú,belt
βλασφημία,38,unigram,feminine,accusative,plural,,,igberò,ọ̀rọ̀-òdì,àfojúdi,blasphemy
βλασφημία,113,unigram,feminine,accusative,singular,,,ọrọ-odi,Ọ̀rọ̀-òdì,Ẹlẹ́rìí,blasphemy
βλασφημία,241,unigram,feminine,nominative,plural,ìsọkúsọ,1.7459549536254029,,,ìsọkúsọ,blasphemy
πλοῖον,125,unigram,neuter,accusative,plural,ọkọ̀,6.669388819093654,ọkọ̀,ọkọ̀,ọkọ̀,boat
πλοῖον,359,unigram,neuter,accusative,singular,ọkọ̀,9.558752802680916,ọkọ̀,ọkọ̀,ọkọ̀,boat
πλοῖον,279,unigram,neuter,nominative,plural,,,tu,ọkọ̀,ọkọ̀,boat
πλοῖον,264,unigram,neuter,nominative,singular,ọkọ̀,4.360553216742536,ọkọ̀,ọkọ̀,ọkọ̀,boat
σῶμα,251,unigram,neuter,nominative,plural,òkú,1.320807056885506,okú,òkú,òkú,body
σῶμα,70,unigram,neuter,nominative,singular,ara,6.089779459332129,ara,ara,ara,body
κλῆμα,66,unigram,neuter,nominative,plural,,,yiyara,,ẹ̀ka,branch
κλῆμα,175,unigram,neuter,nominative,singular,,,ẹka,ẹ̀ka,ẹ̀ka,branch
ἄρτος,364,unigram,masculine,accusative,plural,,,akara,àkàrà,burẹdi,bread
ἄρτος,394,unigram,masculine,accusative,singular,,,akara,àkàrà,jẹun,bread
ἄρτος,184,unigram,masculine,nominative,plural,,,akara,àkàrà,oúnjẹ,bread
ἄρτος,46,unigram,masculine,nominative,singular,oúnjẹ,2.5739815617105886,onjẹ,oúnjẹ,oúnjẹ,bread
ἀδελφός,349,unigram,masculine,accusative,plural,arakunrin,27.741442701700766,arakunrin,arákùnrin,arakunrin,brother
ἀδελφός,142,unigram,masculine,accusative,singular,arakunrin,6.962193641660232,arakunrin,arákùnrin,arakunrin,brother
ἀδελφός,131,unigram,masculine,nominative,plural,arakunrin,9.65517618501548,arakunrin,arákùnrin,arakunrin,brother
ἀδελφός,271,unigram,masculine,nominative,singular,arakunrin,17.832530930734446,arakunrin,arákùnrin,arakunrin,brother
στῆθος,181,unigram,neuter,accusative,plural,,,õkan,oókan,,"chest, breast"
στῆθος,332,unigram,neuter,accusative,singular,,,àiya,àyà,súnmọ́,"chest, breast"
ἀρχιερεύς,284,unigram,masculine,accusative,plural,,,alufa,àlùfáà,,chief priest
ἀρχιερεύς,71,unigram,masculine,accusative,singular,,,alufa,àlùfáà,Olórí,chief priest
ἀρχιερεύς,141,unigram,masculine,nominative,plural,,,alufa,àlùfáà,,chief priest
