lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2058_translation,english_translation
θεός,125,unigram,masculine,accusative,singular,Godi,2.6579152495947227,Godi,God
θεός,199,unigram,masculine,nominative,singular,Godi,1.0126852299500453,Godi,God
κύριος,311,unigram,masculine,nominative,plural,utebisina,1.3305716286123757,utebisina,"Lord, lord, master"
κύριος,126,unigram,masculine,nominative,singular,Dera,1.4261122117395724,Dera,"Lord, lord, master"
γραφή,122,unigram,feminine,accusative,plural,bukaro,1.363636358753182,bukaro,Scripture
γραφή,52,unigram,feminine,accusative,singular,bukaro,1.3753840270699382,bukaro,Scripture
γραφή,245,unigram,feminine,nominative,plural,wasuba,1.169801452314173,wasuba,Scripture
γραφή,306,unigram,feminine,nominative,singular,bukaroma,1.1465059422225468,bukaroma,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,aneru,1.7171644783185485,aneru,angel
ἄγγελος,48,unigram,masculine,nominative,plural,aneruma,1.1289653529189658,aneruma,angel
ἄγγελος,105,unigram,masculine,nominative,singular,aneruma,2.2304327955126677,aneruma,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,afosoro,2.0005010979653863,afosoro,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,amarana,1.0217014267520952,amarana,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,odifitaitana,1.1191489802216492,odifitaitana,authority
ἐξουσία,188,unigram,feminine,accusative,singular,buna,3.220841760905866,buna,authority
βρέφος,15,unigram,neuter,accusative,plural,burifie,1.5008335812939873,burifie,babies
βρέφος,305,unigram,neuter,accusative,singular,borumakaunu,1.6514289103117952,borumakaunu,babies
ἀποθήκη,253,unigram,feminine,accusative,plural,ietata,1.3694058595858003,ietata,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,uiti,1.1296011911877972,uiti,barn
φραγμός,109,unigram,masculine,accusative,singular,dobo,1.1062588450262767,dobo,"barrier, wall"
ἀρχή,72,unigram,feminine,accusative,plural,odifitaitana,1.1189747970793646,odifitaitana,beginning
ἀρχή,170,unigram,feminine,accusative,singular,webatane,1.1796099268067013,webatane,beginning
βλασφημία,33,unigram,feminine,accusative,plural,torowana,1.0140659858066283,torowana,blasphemy
βλασφημία,93,unigram,feminine,accusative,singular,nauisiba,1.0960768946513286,nauisiba,blasphemy
βλασφημία,83,unigram,feminine,nominative,singular,uetaini,1.5604616862302985,uetaini,blasphemy
πλοῖον,103,unigram,neuter,accusative,plural,boutiro,1.0622425259370594,boutiro,boat
πλοῖον,290,unigram,neuter,accusative,singular,boutiro,1.2104059033139718,boutiro,boat
πλοῖον,226,unigram,neuter,nominative,plural,youini,1.1616361309642669,youini,boat
πλοῖον,216,unigram,neuter,nominative,singular,abanaro,1.0850858386001854,abanaro,boat
σῶμα,61,unigram,neuter,nominative,singular,ofe,1.2797189239971687,ofe,body
κλῆμα,140,unigram,neuter,nominative,singular,iwara,1.874922454930119,iwara,branch
ἄρτος,294,unigram,masculine,accusative,plural,buredi,2.7105727793592247,buredi,bread
ἄρτος,320,unigram,masculine,accusative,singular,ieta,2.2588460124105088,ieta,bread
ἄρτος,148,unigram,masculine,nominative,plural,ieta,1.872491175350244,ieta,bread
ἄρτος,39,unigram,masculine,nominative,singular,ieta,1.0099190928606188,ieta,bread
ἀδελφός,281,unigram,masculine,accusative,plural,damamaini,1.2386859473627492,damamaini,brother
ἀδελφός,116,unigram,masculine,accusative,singular,dabue,1.6841891891101406,dabue,brother
ἀδελφός,108,unigram,masculine,nominative,plural,bayaini,1.6312750122544044,bayaini,brother
ἀδελφός,221,unigram,masculine,nominative,singular,dabue,1.3102441926792605,dabue,brother
στῆθος,145,unigram,neuter,accusative,plural,bogaru,1.0662850125332284,bogaru,"chest, breast"
στῆθος,267,unigram,neuter,accusative,singular,Aba,1.3867782254631966,Aba,"chest, breast"
ἀρχιερεύς,228,unigram,masculine,accusative,plural,fuyo,1.0289677177874332,fuyo,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,Kaiyafasibai,1.0979779727655552,Kaiyafasibai,chief priest
ἀρχιερεύς,115,unigram,masculine,nominative,plural,fuyo,1.0228170203754092,fuyo,chief priest
ἀρχιερεύς,232,unigram,masculine,nominative,singular,fuyo,1.027803432956032,fuyo,chief priest
παῖς,50,unigram,masculine,accusative,singular,urei,1.0961210847775034,urei,child
τέκνον,313,unigram,neuter,accusative,plural,koiniboroini,1.5779194147817148,koiniboroini,child
τέκνον,169,unigram,neuter,accusative,singular,damamaba,1.0374227019704456,damamaba,child
τέκνον,16,unigram,neuter,nominative,plural,damamaba,1.0402214959495926,damamaba,child
τέκνον,180,unigram,neuter,nominative,singular,nanu,1.4748078684494583,nanu,child
παιδίον,14,unigram,neuter,accusative,plural,koiniboro,1.322406083640743,koiniboro,child
παιδίον,88,unigram,neuter,accusative,singular,kuitaini,1.1270345079956001,kuitaini,child
παιδίον,164,unigram,neuter,nominative,plural,Woure,1.5122363729817618,Woure,child
παιδίον,41,unigram,neuter,nominative,singular,amakanunu,1.207955041667392,amakanunu,child
πόλις,171,unigram,feminine,accusative,plural,natofo,1.2873655063470502,natofo,city
πόλις,65,unigram,feminine,accusative,singular,suro,2.3003478475444696,suro,city
πύλη,249,unigram,feminine,nominative,plural,uietanu,1.0595384180401852,uietanu,city gate
πύλη,197,unigram,feminine,nominative,singular,bebetona,1.0595352057902494,bebetona,city gate
χιτών,112,unigram,masculine,accusative,plural,akurini,1.043258577761306,akurini,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,baruetaini,1.127813528278241,baruetaini,"clothing, undergarments"
ἱμάτιον,124,unigram,neuter,accusative,plural,wadia,1.6743009495552414,wadia,coat
ἱμάτιον,123,unigram,neuter,accusative,singular,dei,1.3027807836502392,dei,coat
ἐντολή,82,unigram,feminine,accusative,plural,nauegou,1.253031017661978,nauegou,commandment
ἐντολή,80,unigram,feminine,accusative,singular,baeta,1.0802784594835797,baeta,commandment
συνέδριον,299,unigram,neuter,accusative,plural,kanisoro,1.1865443367376614,kanisoro,council
συνέδριον,54,unigram,neuter,accusative,singular,mitini,1.237859368228995,mitini,council
χώρα,77,unigram,feminine,accusative,plural,daufeisi,1.1614335410543388,daufeisi,"country, countryside"
χώρα,270,unigram,feminine,accusative,singular,inata,1.1926445221363904,inata,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,guruguru,1.076042866127538,guruguru,crowd
ὄχλος,9,unigram,masculine,accusative,singular,fataro,1.0123028502845437,fataro,crowd
ὄχλος,97,unigram,masculine,nominative,plural,ubita,1.1240498821902267,ubita,crowd
ὄχλος,263,unigram,masculine,nominative,singular,guruguru,1.1129678520134616,guruguru,crowd
θυγάτηρ,111,unigram,feminine,nominative,plural,Sorara,1.1134380623557119,Sorara,daughter
