lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2072_translation,english_translation
θεός,315,unigram,masculine,accusative,plural,piŋkop,1.2591437047102771,piŋkop,God
θεός,124,unigram,masculine,accusative,singular,Piŋkop,2.307917906446065,Piŋkop,God
θεός,198,unigram,masculine,nominative,singular,Piŋkop,9.503455574491472,Piŋkop,God
κύριος,125,unigram,masculine,nominative,singular,Tagɨ,2.4277887782346297,Tagɨ,"Lord, lord, master"
γραφή,120,unigram,feminine,accusative,plural,papiakon,2.245818181868081,papiakon,Scripture
γραφή,50,unigram,feminine,accusative,singular,papiakon,1.340314562306432,papiakon,Scripture
γραφή,250,unigram,feminine,nominative,plural,papiakon,1.9294397467538813,papiakon,Scripture
γραφή,310,unigram,feminine,nominative,singular,papiakon,1.4632922930957235,papiakon,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,aŋelo,2.078457578143884,aŋelo,angel
ἄγγελος,46,unigram,masculine,nominative,plural,Aŋelo,1.110028604331187,Aŋelo,angel
ἄγγελος,100,unigram,masculine,nominative,singular,aŋelo,4.047015337664013,aŋelo,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,Yabekbi,1.1325894435324697,Yabekbi,apostle
ἐξουσία,188,unigram,feminine,accusative,singular,mudaŋ,3.366351958453803,mudaŋ,authority
βρέφος,15,unigram,neuter,accusative,plural,wutjɨsak,1.161328723715616,wutjɨsak,babies
βρέφος,308,unigram,neuter,accusative,singular,ŋakŋak,1.220564730980177,ŋakŋak,babies
ἀποθήκη,256,unigram,feminine,accusative,plural,Jap,1.214627648909408,Jap,barn
φραγμός,222,unigram,masculine,accusative,plural,tugosak,1.096057314542422,tugosak,"barrier, wall"
φραγμός,104,unigram,masculine,accusative,singular,tɨl,1.0595319950666118,tɨl,"barrier, wall"
βλασφημία,32,unigram,feminine,accusative,plural,kulabɨŋek,1.4108042415355246,kulabɨŋek,blasphemy
βλασφημία,88,unigram,feminine,accusative,singular,kulabɨŋek,1.0960768946513286,kulabɨŋek,blasphemy
βλασφημία,196,unigram,feminine,nominative,plural,wɨrɨrɨtjak,1.0252826640285913,wɨrɨrɨtjak,blasphemy
βλασφημία,78,unigram,feminine,nominative,singular,tok,1.2788379033885868,tok,blasphemy
πλοῖον,98,unigram,neuter,accusative,plural,bot,1.8420615739857,bot,boat
πλοῖον,295,unigram,neuter,accusative,singular,boron,2.1426506377332633,boron,boat
πλοῖον,227,unigram,neuter,nominative,plural,wɨkwa,1.2935541321950283,wɨkwa,boat
πλοῖον,215,unigram,neuter,nominative,singular,bot,1.582506037616923,bot,boat
σῶμα,204,unigram,neuter,nominative,plural,kɨmakba,1.5826585540067983,kɨmakba,body
σῶμα,60,unigram,neuter,nominative,singular,gɨptɨmgo,1.3843007605879298,gɨptɨmgo,body
ἄρτος,299,unigram,masculine,accusative,plural,bret,4.27151453924949,bret,bread
ἄρτος,325,unigram,masculine,accusative,singular,bret,4.492216006408693,bret,bread
ἄρτος,146,unigram,masculine,nominative,plural,bret,1.5699201158701899,bret,bread
ἄρτος,36,unigram,masculine,nominative,singular,bret,2.7520221584503406,bret,bread
ἀδελφός,285,unigram,masculine,accusative,plural,padɨk,1.160374754268801,padɨk,brother
ἀδελφός,112,unigram,masculine,accusative,singular,padɨge,2.141543861614352,padɨge,brother
ἀδελφός,103,unigram,masculine,nominative,plural,padɨk,3.5339043805577925,padɨk,brother
ἀδελφός,220,unigram,masculine,nominative,singular,padɨge,2.3541899644947564,padɨge,brother
στῆθος,142,unigram,neuter,accusative,plural,bupmɨsi,1.0172949755646312,bupmɨsi,"chest, breast"
στῆθος,269,unigram,neuter,accusative,singular,namɨn,1.0450542701740344,namɨn,"chest, breast"
ἀρχιερεύς,231,unigram,masculine,accusative,plural,sogok,1.0478456982575781,sogok,chief priest
ἀρχιερεύς,61,unigram,masculine,accusative,singular,sogok,1.0562234535245516,sogok,chief priest
ἀρχιερεύς,111,unigram,masculine,nominative,plural,sogok,1.1318270938064037,sogok,chief priest
ἀρχιερεύς,235,unigram,masculine,nominative,singular,sogok,1.0432176566200941,sogok,chief priest
παῖς,48,unigram,masculine,accusative,singular,nɨmnɨmɨkgɨt,1.0961210847775034,nɨmnɨmɨkgɨt,child
τέκνον,318,unigram,neuter,accusative,plural,meŋi,1.1901486705396225,meŋi,child
τέκνον,167,unigram,neuter,accusative,singular,padɨge,1.4652301949044588,padɨge,child
τέκνον,16,unigram,neuter,nominative,plural,datniyo,1.088535715483329,datniyo,child
τέκνον,180,unigram,neuter,nominative,singular,Monjɨno,1.2051600190969551,Monjɨno,child
παιδίον,14,unigram,neuter,accusative,plural,Dɨma,1.2916546334856374,Dɨma,child
παιδίον,84,unigram,neuter,accusative,singular,meŋi,1.0076277684193051,meŋi,child
παιδίον,38,unigram,neuter,nominative,singular,pɨgɨkdaŋ,1.033786938413988,pɨgɨkdaŋ,child
πόλις,170,unigram,feminine,accusative,plural,pap,1.5557255422570455,pap,city
πόλις,64,unigram,feminine,accusative,singular,kokup,2.648954589140796,kokup,city
πύλη,195,unigram,feminine,nominative,singular,wigat,1.0806225346029,wigat,city gate
χιτών,108,unigram,masculine,accusative,plural,paba,2.434647999086966,paba,"clothing, undergarments"
