lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2062_translation,english_translation
θεός,325,unigram,masculine,accusative,plural,Wandaen,1.2132679101531654,Wandaen,God
θεός,142,unigram,masculine,accusative,singular,Amisye,1.1639097912055252,Amisye,God
θεός,33,unigram,masculine,nominative,plural,amaisy.,1.6536361537586075,amaisy.,God
θεός,211,unigram,masculine,nominative,singular,Amisye,4.133602415716196,Amisye,God
κύριος,327,unigram,masculine,nominative,plural,Ibeanimaibe,1.2150588415383703,Ibeanimaibe,"Lord, lord, master"
κύριος,143,unigram,masculine,nominative,singular,akarije,1.3134331275606126,akarije,"Lord, lord, master"
γραφή,137,unigram,feminine,accusative,plural,Ayao,1.4905320889987383,Ayao,Scripture
γραφή,55,unigram,feminine,accusative,singular,Ayao,1.0136062050327146,Ayao,Scripture
γραφή,261,unigram,feminine,nominative,plural,Ayao,1.0903702009481968,Ayao,Scripture
γραφή,319,unigram,feminine,nominative,singular,Ayao,2.1882591885085585,Ayao,Scripture
ἄγγελος,105,unigram,masculine,accusative,plural,naito,1.318259236182077,naito,angel
ἄγγελος,89,unigram,masculine,accusative,singular,so.Syo,1.0500981916898025,so.Syo,angel
ἄγγελος,51,unigram,masculine,nominative,plural,naito,3.0490134643826257,naito,angel
ἄγγελος,115,unigram,masculine,nominative,singular,naito,3.2165721834120733,naito,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,matutire,1.416307677619259,matutire,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,atutire,1.0663009578268163,atutire,apostle
ἐξουσία,74,unigram,feminine,accusative,plural,ayaowo,1.0962199599997684,ayaowo,authority
ἐξουσία,202,unigram,feminine,accusative,singular,vambunine,2.925085326909747,vambunine,authority
βρέφος,18,unigram,neuter,accusative,plural,mamaune,1.1133217870504262,mamaune,babies
ἀποθήκη,73,unigram,feminine,accusative,singular,ramero,1.2011412807851294,ramero,barn
φραγμός,236,unigram,masculine,accusative,plural,mantitidi,1.096057314542422,mantitidi,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,ayaowo,1.0961063339256685,ayaowo,beginning
ζώνη,179,unigram,feminine,accusative,plural,Vemo,1.0425993865671883,Vemo,belt
βλασφημία,37,unigram,feminine,accusative,plural,pangkarivea,1.0595480639608463,pangkarivea,blasphemy
βλασφημία,103,unigram,feminine,accusative,singular,wadanaun,1.0960768946513286,wadanaun,blasphemy
βλασφημία,209,unigram,feminine,nominative,plural,tantunawi,1.3352569616542391,tantunawi,blasphemy
βλασφημία,90,unigram,feminine,nominative,singular,tantunawi,1.3352569616542391,tantunawi,blasphemy
πλοῖον,113,unigram,neuter,accusative,plural,nyomane,1.3562422489124475,nyomane,boat
πλοῖον,305,unigram,neuter,accusative,singular,nyomane,2.093468682348984,nyomane,boat
πλοῖον,241,unigram,neuter,nominative,plural,ukayun,1.1064882619361551,ukayun,boat
πλοῖον,228,unigram,neuter,nominative,singular,uborae,1.4128665548067485,uborae,boat
σῶμα,65,unigram,neuter,nominative,singular,Wasamije,1.1529879500694686,Wasamije,body
κλῆμα,61,unigram,neuter,nominative,plural,aneneme,1.212541630128925,aneneme,branch
κλῆμα,157,unigram,neuter,nominative,singular,anggurije,1.1285357880978182,anggurije,branch
ἄρτος,309,unigram,masculine,accusative,plural,rotije,1.7159085808632586,rotije,bread
ἄρτος,337,unigram,masculine,accusative,singular,rotije,1.120127284167468,rotije,bread
ἄρτος,43,unigram,masculine,nominative,singular,anaisyo,2.1175956486696217,anaisyo,bread
ἀδελφός,295,unigram,masculine,accusative,plural,arakove,1.1021325591687186,arakove,brother
ἀδελφός,127,unigram,masculine,accusative,singular,rijato,1.6916319784284408,rijato,brother
ἀδελφός,117,unigram,masculine,nominative,plural,rijate,1.9276804221037218,rijate,brother
ἀδελφός,234,unigram,masculine,nominative,singular,rijate,1.0382554773606545,rijate,brother
στῆθος,162,unigram,neuter,accusative,plural,wanuijo,1.2378143555245482,wanuijo,"chest, breast"
στῆθος,281,unigram,neuter,accusative,singular,pangkepano,1.754269402835106,pangkepano,"chest, breast"
ἀρχιερεύς,126,unigram,masculine,nominative,plural,akokoe,1.3962126958880818,akokoe,chief priest
ἀρχιερεύς,248,unigram,masculine,nominative,singular,titi,1.0148004725134772,titi,chief priest
παῖς,53,unigram,masculine,accusative,singular,anepato,1.1614247833415607,anepato,child
τέκνον,329,unigram,neuter,accusative,plural,arikainye,2.315916652141284,arikainye,child
τέκνον,184,unigram,neuter,accusative,singular,maunanta,1.0388541614657705,maunanta,child
τέκνον,19,unigram,neuter,nominative,plural,arikainye,1.1208879393670677,arikainye,child
τέκνον,194,unigram,neuter,nominative,singular,winy,1.7792126187086077,winy,child
παιδίον,17,unigram,neuter,accusative,plural,mansaorai,1.3859358365132124,mansaorai,child
παιδίον,97,unigram,neuter,accusative,singular,Arikainye,1.3402399520035606,Arikainye,child
παιδίον,45,unigram,neuter,nominative,singular,Arikainye,1.3832974792339294,Arikainye,child
πόλις,187,unigram,feminine,accusative,plural,munijo,1.6662595831021916,munijo,city
πόλις,69,unigram,feminine,accusative,singular,munije,1.6967056638372071,munije,city
πύλη,208,unigram,feminine,nominative,singular,nandi,1.3538231386408384,nandi,city gate
χιτών,122,unigram,masculine,accusative,plural,ansune,1.1878414649954898,ansune,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,naora,1.0341562125750796,naora,"clothing, undergarments"
ἱμάτιον,140,unigram,neuter,accusative,plural,ansuno,1.7105696336612242,ansuno,coat
ἱμάτιον,139,unigram,neuter,accusative,singular,ansuno,1.9716033683708143,ansuno,coat
ἐντολή,87,unigram,feminine,accusative,plural,ananyaowe,1.181308739323397,ananyaowe,commandment
ἐντολή,85,unigram,feminine,accusative,singular,ananyao,1.9391190403372875,ananyao,commandment
συνέδριον,57,unigram,neuter,accusative,singular,wanugan,1.3133089481682,wanugan,council
χώρα,285,unigram,feminine,accusative,singular,munije,1.654124265665397,munije,"country, countryside"
ὄχλος,62,unigram,masculine,accusative,plural,wanuije,3.298660911959856,wanuije,crowd
ὄχλος,11,unigram,masculine,accusative,singular,wanuije,2.5932452304974567,wanuije,crowd
