lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1730_translation,english_translation
θεός,129,unigram,masculine,accusative,singular,Dios,1.6325190399474616,Dios,God
θεός,30,unigram,masculine,nominative,plural,dios,1.492547267093395,dios,God
θεός,202,unigram,masculine,nominative,singular,Dios,1.4448256379670998,Dios,God
κύριος,322,unigram,masculine,nominative,plural,rethàtsi,1.3614802753893338,rethàtsi,"Lord, lord, master"
κύριος,130,unigram,masculine,nominative,singular,Señor,1.2479263221001629,Señor,"Lord, lord, master"
γραφή,124,unigram,feminine,accusative,plural,Escritura,1.523842049934137,Escritura,Scripture
γραφή,51,unigram,feminine,accusative,singular,Escritura,1.6380421965807364,Escritura,Scripture
γραφή,256,unigram,feminine,nominative,plural,Escritura,1.1196318012567128,Escritura,Scripture
γραφή,315,unigram,feminine,nominative,singular,Escritura,2.4565682279834826,Escritura,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,ángel,2.545276983605393,ángel,angel
ἄγγελος,48,unigram,masculine,nominative,plural,ángel,2.8238343653644216,ángel,angel
ἄγγελος,105,unigram,masculine,nominative,singular,ángel,1.5022501296585116,ángel,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,apóstol,2.9196346667900555,apóstol,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mandádua,1.3419552284805143,mandádua,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,uxtícia,1.1135622401149463,uxtícia,authority
ἐξουσία,192,unigram,feminine,accusative,singular,la'huacca,1.7828779606396905,la'huacca,authority
βρέφος,15,unigram,neuter,accusative,plural,ritahua,1.1063007905229203,ritahua,babies
βρέφος,314,unigram,neuter,accusative,singular,tíe,1.0595512823290478,tíe,babies
φραγμός,227,unigram,masculine,accusative,plural,nédayù,1.161346151680032,nédayù,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,uxtícia,1.1134037632027682,uxtícia,beginning
ἀρχή,174,unigram,feminine,accusative,singular,chìbá,1.1063085311531773,chìbá,beginning
ζώνη,167,unigram,feminine,accusative,plural,cobre,1.2125655932085435,cobre,belt
βλασφημία,33,unigram,feminine,accusative,plural,gunìttiluą,1.0595609466359637,gunìttiluą,blasphemy
βλασφημία,93,unigram,feminine,accusative,singular,testíguni,1.0960965115985384,testíguni,blasphemy
βλασφημία,200,unigram,feminine,nominative,plural,mal,1.1429429439060141,mal,blasphemy
πλοῖον,103,unigram,neuter,accusative,plural,bárcuá,2.319872513137709,bárcuá,boat
πλοῖον,299,unigram,neuter,accusative,singular,bárcuá,1.4469943852979863,bárcuá,boat
πλοῖον,233,unigram,neuter,nominative,plural,yù'uéa,1.0962597735187187,yù'uéa,boat
πλοῖον,219,unigram,neuter,nominative,singular,bárcuá,1.1850382253724745,bárcuá,boat
σῶμα,59,unigram,neuter,nominative,singular,cuerpo,1.9901183647263712,cuerpo,body
κλῆμα,55,unigram,neuter,nominative,plural,tùbà,1.2125895793310684,tùbà,branch
κλῆμα,144,unigram,neuter,nominative,singular,tùbà,1.3693414317262709,tùbà,branch
ἄρτος,304,unigram,masculine,accusative,plural,ettaxtíla,1.8297701211464716,ettaxtíla,bread
ἄρτος,331,unigram,masculine,accusative,singular,ettaxtíla,1.2063809810559076,ettaxtíla,bread
ἄρτος,152,unigram,masculine,nominative,plural,ettaxtíla,1.7428031595831441,ettaxtíla,bread
ἄρτος,39,unigram,masculine,nominative,singular,ettaxtila,2.1817006508881343,ettaxtila,bread
ἀδελφός,290,unigram,masculine,accusative,plural,bettsi,2.51316244138194,bettsi,brother
ἀδελφός,116,unigram,masculine,accusative,singular,bettsi,3.1164253303328966,bettsi,brother
ἀδελφός,109,unigram,masculine,nominative,plural,bettsi,2.597424201169768,bettsi,brother
ἀδελφός,225,unigram,masculine,nominative,singular,bettsi,3.949333991908653,bettsi,brother
στῆθος,150,unigram,neuter,accusative,plural,huia,1.0595512823290478,huia,"chest, breast"
ἀρχιερεύς,236,unigram,masculine,accusative,plural,sacerdote,1.216614387833324,sacerdote,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,huexána,1.1242848553914977,huexána,chief priest
ἀρχιερεύς,115,unigram,masculine,nominative,plural,sacerdote,1.0994756416524192,sacerdote,chief priest
ἀρχιερεύς,241,unigram,masculine,nominative,singular,huexána,1.4739147611287955,huexána,chief priest
τέκνον,324,unigram,neuter,accusative,plural,ỹi'ni,2.1937065829350333,ỹi'ni,child
τέκνον,172,unigram,neuter,accusative,singular,ỹí'niá,1.1352920518330418,ỹí'niá,child
τέκνον,16,unigram,neuter,nominative,plural,ỹí'niá,1.2106442806210007,ỹí'niá,child
τέκνον,184,unigram,neuter,nominative,singular,Ỹì'nia,2.3477034141119386,Ỹì'nia,child
παιδίον,14,unigram,neuter,accusative,plural,huatsa,1.0310126016656802,huatsa,child
παιδίον,89,unigram,neuter,accusative,singular,huatsa,1.3418710315829423,huatsa,child
παιδίον,165,unigram,neuter,nominative,plural,huatsa,1.065392791085457,huatsa,child
παιδίον,41,unigram,neuter,nominative,singular,huátsáa,1.1625520328975258,huátsáa,child
πόλις,175,unigram,feminine,accusative,plural,yetsi,1.0107386563292928,yetsi,city
πόλις,64,unigram,feminine,accusative,singular,yetsi,2.321817655361366,yetsi,city
πύλη,199,unigram,feminine,nominative,singular,puerta,1.052865750521264,puerta,city gate
χιτών,112,unigram,masculine,accusative,plural,chuppa,1.0488353996154294,chuppa,"clothing, undergarments"
χιτών,31,unigram,masculine,accusative,singular,camisa,1.6315556618124822,camisa,"clothing, undergarments"
ἱμάτιον,127,unigram,neuter,accusative,plural,ỹúeá,1.1096349745283178,ỹúeá,coat
ἱμάτιον,126,unigram,neuter,accusative,singular,mata,1.2369737560830019,mata,coat
ἐντολή,80,unigram,feminine,accusative,plural,mandamiento,2.152308045726566,mandamiento,commandment
ἐντολή,78,unigram,feminine,accusative,singular,mandamiento,2.166833550585022,mandamiento,commandment
συνέδριον,309,unigram,neuter,accusative,plural,Lihue,1.029818294383554,Lihue,council
χώρα,281,unigram,feminine,accusative,singular,attu,1.0994883686998185,attu,"country, countryside"
ὄχλος,56,unigram,masculine,accusative,plural,ỹétsi,1.082918737733155,ỹétsi,crowd
ὄχλος,9,unigram,masculine,accusative,singular,ỹétsi,1.2962943801606253,ỹétsi,crowd
ὄχλος,97,unigram,masculine,nominative,plural,enne,1.3796403863647706,enne,crowd
ὄχλος,272,unigram,masculine,nominative,singular,enne,1.0497083163716705,enne,crowd
θυγάτηρ,110,unigram,feminine,nominative,plural,licuetsi,1.1615125492473315,licuetsi,daughter
θυγάτηρ,303,unigram,feminine,nominative,singular,ỹi'ni,1.2620646487963378,ỹi'ni,daughter
ἡμέρα,74,unigram,feminine,accusative,plural,ubitsa,3.821301116573488,ubitsa,day
ἡμέρα,83,unigram,feminine,accusative,singular,tsá,2.3362014317254616,tsá,day
ἡμέρα,2,unigram,feminine,nominative,plural,ubitsa,1.1082353270728444,ubitsa,day
ἡμέρα,66,unigram,feminine,nominative,singular,Tsá,1.0425103090248775,Tsá,day
ὀφειλέτης,118,unigram,masculine,nominative,singular,ribeqquia,1.106282796604272,ribeqquia,debtor
δαιμόνιον,32,unigram,neuter,accusative,plural,espíritu,1.127151386326062,espíritu,demon
δαιμόνιον,318,unigram,neuter,accusative,singular,espíritu,1.1409769933545753,espíritu,demon
δαιμόνιον,186,unigram,neuter,nominative,plural,malo,1.0518757208110616,malo,demon
δαιμόνιον,164,unigram,neuter,nominative,singular,espíritu,1.108670299801783,espíritu,demon
δηνάριον,295,unigram,neuter,accusative,plural,gayua,1.3514899270292493,gayua,denarius (about a day's wages)
δηνάριον,154,unigram,neuter,accusative,singular,denario,1.8195426541791653,denario,denarius (about a day's wages)
μαθητής,170,unigram,masculine,accusative,plural,discípulo,1.1433995965178858,discípulo,disciple
μαθητής,325,unigram,masculine,accusative,singular,uccuatsi'íni,1.3468282077854978,uccuatsi'íni,disciple
μαθητής,265,unigram,masculine,nominative,plural,discípulo,1.6963144490886315,discípulo,disciple
μαθητής,323,unigram,masculine,nominative,singular,discípulo,1.6309987799295482,discípulo,disciple
νόσος,3,unigram,feminine,accusative,plural,itsahue,1.4809034180117793,itsahue,disease
νόσος,73,unigram,feminine,accusative,singular,dolor,1.1278656149725508,dolor,disease
περιστερά,96,unigram,feminine,accusative,plural,becha,1.4898071656208876,becha,dove
περιστερά,53,unigram,feminine,accusative,singular,becha,1.5378334439632193,becha,dove
οὖς,143,unigram,neuter,accusative,plural,nagui,1.1657667131557488,nagui,ear
οὖς,271,unigram,neuter,accusative,singular,declarar,1.076874529638855,declarar,ear
σεισμός,193,unigram,masculine,nominative,plural,riỹú,1.631540256701251,riỹú,"earthquakes, storm"
σεισμός,62,unigram,masculine,nominative,singular,fuerte,1.4413361733995893,fuerte,"earthquakes, storm"
