lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_312_translation,english_translation
θεός,273,unigram,masculine,accusative,plural,chios,1.2568811710380376,chios,God
θεός,114,unigram,masculine,accusative,singular,Chioza,2.8037780624089503,Chioza,God
θεός,175,unigram,masculine,nominative,singular,Chioza,1.2903079576466094,Chioza,God
κύριος,115,unigram,masculine,nominative,singular,X̱ancho,1.6742286342833226,X̱ancho,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,Cho,1.020866094470818,Cho,Scripture
γραφή,44,unigram,feminine,accusative,singular,Cho,1.0225268867955994,Cho,Scripture
γραφή,217,unigram,feminine,nominative,plural,Cho,1.0219395415457273,Cho,Scripture
γραφή,268,unigram,feminine,nominative,singular,Cho,1.4115542300533972,Cho,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,anjl,1.7368347987819135,anjl,angel
ἄγγελος,73,unigram,masculine,accusative,singular,illino,1.0400539168745258,illino,angel
ἄγγελος,41,unigram,masculine,nominative,plural,anjlka,2.80442650004158,anjlka,angel
ἄγγελος,93,unigram,masculine,nominative,singular,anjl,1.2109441069568907,anjl,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,postlka,1.5555349518894128,postlka,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,zak'che,1.0437883454075485,zak'che,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,yilliile,1.0955467890654595,yilliile,authority
ἐξουσία,167,unigram,feminine,accusative,singular,wṉabia,1.0203587813811987,wṉabia,authority
βρέφος,14,unigram,neuter,accusative,plural,gaklene'gakb,1.210952880253466,gaklene'gakb,babies
βρέφος,267,unigram,neuter,accusative,singular,deb,1.1409270093858517,deb,babies
ἀποθήκη,223,unigram,feminine,accusative,plural,chizi,1.5066874522566078,chizi,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,trígona,1.17261125031082,trígona,barn
ἀρχή,64,unigram,feminine,accusative,plural,yilliile,1.0954540950705378,yilliile,beginning
ζώνη,145,unigram,feminine,accusative,plural,cobre,1.1601402291408716,cobre,belt
ζώνη,188,unigram,feminine,accusative,singular,nc̱hej,1.095398876121712,nc̱hej,belt
βλασφημία,28,unigram,feminine,accusative,plural,¡Ḻa,1.095421848054621,¡Ḻa,blasphemy
βλασφημία,85,unigram,feminine,accusative,singular,―¡Kwinle,1.095421848054621,―¡Kwinle,blasphemy
βλασφημία,173,unigram,feminine,nominative,plural,chṉe,1.059115049741089,chṉe,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,barkwka,1.6849726163915073,barkwka,boat
πλοῖον,254,unigram,neuter,accusative,singular,barkwa,1.0796108708295225,barkwa,boat
πλοῖον,190,unigram,neuter,nominative,singular,barkwa,1.2815421880759863,barkwa,boat
σῶμα,53,unigram,neuter,nominative,singular,kwerp,2.633778017531605,kwerp,body
κλῆμα,49,unigram,neuter,nominative,plural,chbiachga,1.0954080587464583,chbiachga,branch
κλῆμα,128,unigram,neuter,nominative,singular,xka'inna,1.043772018409583,xka'inna,branch
ἄρτος,258,unigram,masculine,accusative,plural,yetxtilka,2.8909449496592865,yetxtilka,bread
ἄρτος,282,unigram,masculine,accusative,singular,yetxtil,1.0642412922504332,yetxtil,bread
ἄρτος,135,unigram,masculine,nominative,plural,gao,1.3760261548511576,gao,bread
ἄρτος,33,unigram,masculine,nominative,singular,wawa,1.0558244191216235,wawa,bread
ἀδελφός,103,unigram,masculine,accusative,singular,bishee,1.5433657754147658,bishee,brother
ἀδελφός,96,unigram,masculine,nominative,plural,bisheeka,1.2048343840914209,bisheeka,brother
ἀδελφός,195,unigram,masculine,nominative,singular,bish,2.1166229265043337,bish,brother
στῆθος,234,unigram,neuter,accusative,singular,wṉabile'ne,1.2949211847344266,wṉabile'ne,"chest, breast"
ἀρχιερεύς,203,unigram,masculine,accusative,plural,bx̱ozka,1.5230659054271056,bx̱ozka,chief priest
