lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1219_translation,english_translation
θεός,339,unigram,masculine,accusative,plural,quith,1.267667893890782,quith,God
θεός,140,unigram,masculine,accusative,singular,Diox,1.6528477989114652,Diox,God
θεός,32,unigram,masculine,nominative,plural,―Loo,1.413884080370571,―Loo,God
θεός,218,unigram,masculine,nominative,singular,Diox,5.604703916179514,Diox,God
κύριος,341,unigram,masculine,nominative,plural,xac,1.1632260100919616,xac,"Lord, lord, master"
κύριος,141,unigram,masculine,nominative,singular,Tad,2.330338766153462,Tad,"Lord, lord, master"
γραφή,135,unigram,feminine,accusative,plural,libr,1.0558385654613391,libr,Scripture
γραφή,56,unigram,feminine,accusative,singular,tarte,1.0578353565494696,tarte,Scripture
γραφή,269,unigram,feminine,nominative,plural,tyaaque,1.2217066536769456,tyaaque,Scripture
γραφή,335,unigram,feminine,nominative,singular,libr,1.2569029229012971,libr,Scripture
ἄγγελος,105,unigram,masculine,accusative,plural,angl,2.2175358010318784,angl,angel
ἄγγελος,90,unigram,masculine,accusative,singular,tel,1.1319730503444188,tel,angel
ἄγγελος,52,unigram,masculine,nominative,plural,angl,5.479797037754454,angl,angel
ἄγγελος,116,unigram,masculine,nominative,singular,angl,5.6334341440007645,angl,angel
ἀπόστολος,49,unigram,masculine,nominative,plural,ndxe,1.1348635118332526,ndxe,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,Lìca,1.5370869524637174,Lìca,apostle
ἐξουσία,75,unigram,feminine,accusative,plural,ne'tyóode,1.0565757360092534,ne'tyóode,authority
ἐξουσία,209,unigram,feminine,accusative,singular,la,2.1896723116673464,la,authority
βρέφος,18,unigram,neuter,accusative,plural,bixa,1.090923245750815,bixa,babies
βρέφος,333,unigram,neuter,accusative,singular,bate,1.2925257312916645,bate,babies
ἀποθήκη,277,unigram,feminine,accusative,plural,cosech,1.3108207624881445,cosech,barn
ἀποθήκη,74,unigram,feminine,accusative,singular,tec,1.115922264593562,tec,barn
φραγμός,120,unigram,masculine,accusative,singular,Mtoxcua,1.0595641711434236,Mtoxcua,"barrier, wall"
ἀρχή,77,unigram,feminine,accusative,plural,ne'tyóode,1.056494530617354,ne'tyóode,beginning
ζώνη,182,unigram,feminine,accusative,plural,cobr,1.1613897942730969,cobr,belt
βλασφημία,36,unigram,feminine,accusative,plural,Non,1.0595803167787572,Non,blasphemy
βλασφημία,104,unigram,feminine,accusative,singular,Mched,1.3850226522470523,Mched,blasphemy
βλασφημία,216,unigram,feminine,nominative,plural,xtaa,1.1796531645308188,xtaa,blasphemy
βλασφημία,91,unigram,feminine,nominative,singular,nxyal,1.1063085311531773,nxyal,blasphemy
πλοῖον,114,unigram,neuter,accusative,plural,yòoyaa,1.125585885935052,yòoyaa,boat
πλοῖον,318,unigram,neuter,accusative,singular,yòoyaa,2.7462744653932663,yòoyaa,boat
πλοῖον,249,unigram,neuter,nominative,plural,taate,1.0276061695072156,taate,boat
πλοῖον,236,unigram,neuter,nominative,singular,grolthe,1.4927535851947815,grolthe,boat
σῶμα,65,unigram,neuter,nominative,singular,laden,1.0054264820383152,laden,body
κλῆμα,61,unigram,neuter,nominative,plural,xòod,1.0961112485594913,xòod,branch
κλῆμα,156,unigram,neuter,nominative,singular,xòod,1.498067396434238,xòod,branch
ἄρτος,323,unigram,masculine,accusative,plural,pan,2.2889380678530964,pan,bread
ἄρτος,351,unigram,masculine,accusative,singular,pan,1.5795658314350056,pan,bread
ἄρτος,165,unigram,masculine,nominative,plural,pan,1.4244849608654286,pan,bread
