lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1653_translation,english_translation
θεός,120,unigram,masculine,accusative,singular,Dios,2.5631654094129552,Dios,God
θεός,27,unigram,masculine,nominative,plural,dios,1.0972909390725487,dios,God
θεός,190,unigram,masculine,nominative,singular,Dios,3.6273315327118163,Dios,God
κύριος,121,unigram,masculine,nominative,singular,Dad,1.5684401231977738,Dad,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,xtiidx,1.2245415419551933,xtiidx,Scripture
γραφή,237,unigram,feminine,nominative,plural,cayajc,1.0536155121156408,cayajc,Scripture
γραφή,294,unigram,feminine,nominative,singular,ca,1.6518151437563011,ca,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,xianjlaman,1.1357241907822408,xianjlaman,angel
ἄγγελος,42,unigram,masculine,nominative,plural,anjl,1.3880122030301665,anjl,angel
ἄγγελος,97,unigram,masculine,nominative,singular,anjl,1.521584778377097,anjl,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,apóstoles,1.4505405739949826,apóstoles,apostle
ἐξουσία,63,unigram,feminine,accusative,plural,yadxiꞌdi,1.213013108809073,yadxiꞌdi,authority
ἐξουσία,181,unigram,feminine,accusative,singular,guialrniabee,5.100944537849968,guialrniabee,authority
βρέφος,13,unigram,neuter,accusative,plural,cadilë,1.0811301478527144,cadilë,babies
βρέφος,293,unigram,neuter,accusative,singular,nagaꞌman,1.299867473377188,nagaꞌman,babies
ἀποθήκη,62,unigram,feminine,accusative,singular,trigo,1.4341536107872817,trigo,barn
ἀρχή,65,unigram,feminine,accusative,plural,yadxiꞌdi,1.2127339822005072,yadxiꞌdi,beginning
ἀρχή,164,unigram,feminine,accusative,singular,yaloj,1.4929557404266984,yaloj,beginning
ζώνη,156,unigram,feminine,accusative,plural,cobr,1.161363596243249,cobr,belt
βλασφημία,188,unigram,feminine,nominative,plural,diidxguijdx,1.6953067886632758,diidxguijdx,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,barcw,1.4583265304290751,barcw,boat
πλοῖον,279,unigram,neuter,accusative,singular,barcw,3.829294260016823,barcw,boat
πλοῖον,217,unigram,neuter,nominative,plural,wëꞌp,1.1618864404871534,wëꞌp,boat
πλοῖον,206,unigram,neuter,nominative,singular,barcw,2.3197603951648387,barcw,boat
σῶμα,53,unigram,neuter,nominative,singular,xcuerpil,1.5391202501017205,xcuerpil,body
ἄρτος,283,unigram,masculine,accusative,plural,guiadxtil,4.01152223403578,guiadxtil,bread
ἄρτος,308,unigram,masculine,accusative,singular,guiadxtil,3.3810199436914377,guiadxtil,bread
ἄρτος,140,unigram,masculine,nominative,plural,guiadxtil,1.2386685495965517,guiadxtil,bread
ἄρτος,34,unigram,masculine,nominative,singular,guiadxtil,1.6343702367655222,guiadxtil,bread
ἀδελφός,271,unigram,masculine,accusative,plural,bijchaman,1.1817869335075597,bijchaman,brother
ἀδελφός,108,unigram,masculine,accusative,singular,bijchaman,1.1781768507607229,bijchaman,brother
ἀδελφός,100,unigram,masculine,nominative,plural,bijch,1.1962492377248601,bijch,brother
ἀδελφός,212,unigram,masculine,nominative,singular,bijch,1.4832210801482215,bijch,brother
στῆθος,138,unigram,neuter,accusative,plural,rigaꞌpgaj,1.2126256018072978,rigaꞌpgaj,"chest, breast"
