lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_394_translation,english_translation
θεός,314,unigram,masculine,accusative,plural,Nane,1.16212982949932,Nane,God
θεός,130,unigram,masculine,accusative,singular,Dios,1.886163384662081,Dios,God
θεός,201,unigram,masculine,nominative,singular,Dios,6.448311650563062,Dios,God
κύριος,316,unigram,masculine,nominative,plural,―Lë'go,1.096344883540667,―Lë'go,"Lord, lord, master"
κύριος,131,unigram,masculine,nominative,singular,Señor,1.13085163561557,Señor,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,nzobni,1.107308969399642,nzobni,Scripture
γραφή,51,unigram,feminine,accusative,singular,Yech,1.282905664425107,Yech,Scripture
γραφή,248,unigram,feminine,nominative,plural,Yech,1.085071206834492,Yech,Scripture
γραφή,308,unigram,feminine,nominative,singular,nzobni,1.6140859791752031,nzobni,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,ganj,1.6702190203885308,ganj,angel
ἄγγελος,81,unigram,masculine,accusative,singular,kuxkwa,1.3242760566068346,kuxkwa,angel
ἄγγελος,47,unigram,masculine,nominative,plural,ganj,4.9501979511274525,ganj,angel
ἄγγελος,106,unigram,masculine,nominative,singular,ganj,3.961281472367325,ganj,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,apost,5.067496503258171,apost,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,le't,1.0352059133321203,le't,authority
ἐξουσία,192,unigram,feminine,accusative,singular,mandad,1.2132093129656487,mandad,authority
βρέφος,17,unigram,neuter,accusative,plural,nangala'tra,1.0954126531313877,nangala'tra,babies
βρέφος,306,unigram,neuter,accusative,singular,nax,1.0332455912776983,nax,babies
ἀποθήκη,254,unigram,feminine,accusative,plural,yalgo,1.4642503723936957,yalgo,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,kan,1.0752489294899301,kan,barn
φραγμός,222,unigram,masculine,accusative,plural,yalo,1.0591060057675743,yalo,"barrier, wall"
φραγμός,111,unigram,masculine,accusative,singular,tsi,1.235785000316533,tsi,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,plural,le't,1.0351668264658822,le't,beginning
ἀρχή,173,unigram,feminine,accusative,singular,galo,1.024763212786418,galo,beginning
ζώνη,166,unigram,feminine,accusative,plural,kobr,1.095398876121712,kobr,belt
βλασφημία,93,unigram,feminine,accusative,singular,michëz,1.1054876771558184,michëz,blasphemy
βλασφημία,199,unigram,feminine,nominative,plural,Rë,1.271697798693835,Rë,blasphemy
πλοῖον,104,unigram,neuter,accusative,plural,bark,1.5439541830495758,bark,boat
πλοῖον,293,unigram,neuter,accusative,singular,bark,2.277194116237736,bark,boat
πλοῖον,228,unigram,neuter,nominative,plural,ñakë,1.2523465674948109,ñakë,boat
πλοῖον,216,unigram,neuter,nominative,singular,bark,1.7416332083884656,bark,boat
σῶμα,208,unigram,neuter,nominative,plural,ki'ch,1.2848274077768285,ki'ch,body
σῶμα,60,unigram,neuter,nominative,singular,dubal,1.5721480476256235,dubal,body
κλῆμα,56,unigram,neuter,nominative,plural,nawi,1.3535537847146468,nawi,branch
κλῆμα,146,unigram,neuter,nominative,singular,nawi,1.1178995103641125,nawi,branch
ἄρτος,298,unigram,masculine,accusative,plural,pan,2.054273014406826,pan,bread
ἄρτος,325,unigram,masculine,accusative,singular,pan,1.4414908363467127,pan,bread
ἄρτος,152,unigram,masculine,nominative,plural,gao,1.0774618022674407,gao,bread
ἄρτος,38,unigram,masculine,nominative,singular,pan,2.2428861763242205,pan,bread
ἀδελφός,283,unigram,masculine,accusative,plural,wech,1.5589741824110517,wech,brother
ἀδελφός,119,unigram,masculine,accusative,singular,wech,2.4695214582268274,wech,brother
ἀδελφός,110,unigram,masculine,nominative,plural,wech,1.381049618736758,wech,brother
ἀδελφός,220,unigram,masculine,nominative,singular,wech,1.9612671432530704,wech,brother
στῆθος,269,unigram,neuter,accusative,singular,¿cho,1.0414636854129862,¿cho,"chest, breast"
ἀρχιερεύς,230,unigram,masculine,accusative,plural,ngulëi,3.3403999254668313,ngulëi,chief priest
ἀρχιερεύς,61,unigram,masculine,accusative,singular,ngulëi,1.2476150938896022,ngulëi,chief priest
ἀρχιερεύς,118,unigram,masculine,nominative,plural,ngulëi,2.917183914678683,ngulëi,chief priest
ἀρχιερεύς,235,unigram,masculine,nominative,singular,ngulëi,1.929149829962021,ngulëi,chief priest
παῖς,225,unigram,masculine,accusative,plural,haxta,1.2439593151388886,haxta,child
παῖς,49,unigram,masculine,accusative,singular,milichin,1.1055270877357866,milichin,child
τέκνον,318,unigram,neuter,accusative,plural,xmë,1.5374184924925511,xmë,child
τέκνον,172,unigram,neuter,accusative,singular,wech,1.234252386445176,wech,child
τέκνον,18,unigram,neuter,nominative,plural,xuz,1.183800119837848,xuz,child
τέκνον,185,unigram,neuter,nominative,singular,nagakt,1.0164442688292807,nagakt,child
παιδίον,16,unigram,neuter,accusative,plural,bimë,1.1410784418008002,bimë,child
παιδίον,87,unigram,neuter,accusative,singular,më,1.4772202287211589,më,child
παιδίον,40,unigram,neuter,nominative,singular,më,1.6133668653518396,më,child
πόλις,174,unigram,feminine,accusative,plural,yezh,1.557186813624016,yezh,city
πόλις,63,unigram,feminine,accusative,singular,yezh,3.567715388881858,yezh,city
πύλη,198,unigram,feminine,nominative,singular,pwert,1.1051935246418916,pwert,city gate
χιτών,114,unigram,masculine,accusative,plural,nez,1.0280181317098716,nez,"clothing, undergarments"
