lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2091_translation,english_translation
θεός,108,unigram,masculine,accusative,singular,Chohile,7.875696020570537,Chohile,God
θεός,175,unigram,masculine,nominative,singular,Chohile,8.22587654257833,Chohile,God
κύριος,109,unigram,masculine,nominative,singular,Zumbe,4.565728997519128,Zumbe,"Lord, lord, master"
γραφή,104,unigram,feminine,accusative,plural,Mawandiko,1.419500063504156,Mawandiko,Scripture
γραφή,225,unigram,feminine,nominative,plural,Mawandiko,1.2815295760697922,Mawandiko,Scripture
γραφή,280,unigram,feminine,nominative,singular,Mawandiko,1.3835688422305614,Mawandiko,Scripture
ἄγγελος,77,unigram,masculine,accusative,plural,wandima,1.3994694351701051,wandima,angel
ἄγγελος,68,unigram,masculine,accusative,singular,akulongwele,1.1782965664111331,akulongwele,angel
ἄγγελος,40,unigram,masculine,nominative,plural,wandima,1.145474108003813,wandima,angel
ἄγγελος,86,unigram,masculine,nominative,singular,kwembingu,1.243116359291193,kwembingu,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,Wasigilwa,1.7936030289078824,Wasigilwa,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,amsigile,1.0354317273001432,amsigile,apostle
ἐξουσία,166,unigram,feminine,accusative,singular,udahi,6.913720502550525,udahi,authority
βρέφος,13,unigram,neuter,accusative,plural,nawamwila,1.0960670999999007,nawamwila,babies
βρέφος,279,unigram,neuter,accusative,singular,kagonezwa,1.0595384180401852,kagonezwa,babies
ἀποθήκη,229,unigram,feminine,accusative,plural,magulu,1.5679423383368236,magulu,barn
ἀρχή,151,unigram,feminine,accusative,singular,nkongo,1.3345212401669613,nkongo,beginning
ζώνη,142,unigram,feminine,accusative,plural,mikwiji,1.0960524252565438,mikwiji,belt
βλασφημία,27,unigram,feminine,accusative,plural,akumhuluta,1.2125775833869603,akumhuluta,blasphemy
βλασφημία,173,unigram,feminine,nominative,plural,mahuluto,1.999949021035427,mahuluto,blasphemy
πλοῖον,84,unigram,neuter,accusative,plural,mpwani,1.3654413426931236,mpwani,boat
πλοῖον,265,unigram,neuter,accusative,singular,ngalawa,3.5487304734011618,ngalawa,boat
πλοῖον,192,unigram,neuter,nominative,singular,ingalawa,1.1011446316767093,ingalawa,boat
σῶμα,50,unigram,neuter,nominative,singular,umwili,1.9408797481703255,umwili,body
κλῆμα,123,unigram,neuter,nominative,singular,mwangu,1.4234015447185882,mwangu,branch
ἄρτος,269,unigram,masculine,accusative,plural,migate,2.232806133694224,migate,bread
ἄρτος,293,unigram,masculine,accusative,singular,mgate,1.4310792221212676,mgate,bread
ἄρτος,130,unigram,masculine,nominative,plural,migate,2.444896592748224,migate,bread
ἄρτος,31,unigram,masculine,nominative,singular,mgate,2.033969056758245,mgate,bread
ἀδελφός,255,unigram,masculine,accusative,plural,walukolo,4.616993776463446,walukolo,brother
ἀδελφός,97,unigram,masculine,accusative,singular,mlukolo,2.2927425824396472,mlukolo,brother
ἀδελφός,89,unigram,masculine,nominative,plural,walukolo,6.141533122178383,walukolo,brother
ἀδελφός,197,unigram,masculine,nominative,singular,mlukolo,4.357867018470839,mlukolo,brother
στῆθος,242,unigram,neuter,accusative,singular,yuhi,1.0262127646629586,yuhi,"chest, breast"
ἀρχιερεύς,205,unigram,masculine,accusative,plural,wakulu,1.16100217322633,wakulu,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,Mlavyantambiko,1.0650244463297476,Mlavyantambiko,chief priest
ἀρχιερεύς,96,unigram,masculine,nominative,plural,wakulu,1.1801678537966342,wakulu,chief priest
ἀρχιερεύς,209,unigram,masculine,nominative,singular,Mlavyantambiko,1.4477154291894152,Mlavyantambiko,chief priest
τέκνον,287,unigram,neuter,accusative,plural,wana,1.3137598372953727,wana,child
τέκνον,148,unigram,neuter,accusative,singular,nawawahitukile,1.0786058449057112,nawawahitukile,child
τέκνον,14,unigram,neuter,nominative,plural,nawawahitukile,1.2105845813949792,nawawahitukile,child
τέκνον,160,unigram,neuter,nominative,singular,Mwanangu,2.013845610649179,Mwanangu,child
παιδίον,12,unigram,neuter,accusative,plural,wadodo,1.1929126318282381,wadodo,child
παιδίον,73,unigram,neuter,accusative,singular,mamiyakwe,1.0810335184843287,mamiyakwe,child
παιδίον,33,unigram,neuter,nominative,singular,mwana,1.1774846408064616,mwana,child
πόλις,152,unigram,feminine,accusative,plural,mizi,3.527261474898164,mizi,city
πόλις,54,unigram,feminine,accusative,singular,mzi,3.5639921190741783,mzi,city
πύλη,172,unigram,feminine,nominative,singular,sisili,1.8915847054749424,sisili,city gate
χιτών,93,unigram,masculine,accusative,plural,suche,1.3589218650752046,suche,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,yako,1.0141613148277049,yako,"clothing, undergarments"
ἱμάτιον,106,unigram,neuter,accusative,plural,izisuche,1.0363496362881928,izisuche,coat
ἱμάτιον,105,unigram,neuter,accusative,singular,suche,1.383802881045374,suche,coat
ἐντολή,66,unigram,feminine,accusative,plural,malagizo,2.292131735962565,malagizo,commandment
ἐντολή,64,unigram,feminine,accusative,singular,mahinyo,1.0297844915180974,mahinyo,commandment
συνέδριον,274,unigram,neuter,accusative,plural,vitala,1.3571177067064897,vitala,council
συνέδριον,43,unigram,neuter,accusative,singular,chitala,1.695400215502832,chitala,council
χώρα,246,unigram,feminine,accusative,singular,ntendele,1.272142065599846,ntendele,"country, countryside"
ὄχλος,47,unigram,masculine,accusative,plural,idifyo,2.7284194219803912,idifyo,crowd
ὄχλος,9,unigram,masculine,accusative,singular,wantu,1.03915751250946,wantu,crowd
ὄχλος,237,unigram,masculine,nominative,singular,fyo,1.2748797579779396,fyo,crowd
θυγάτηρ,268,unigram,feminine,nominative,singular,kabanika,1.3475287248766108,kabanika,daughter
ἡμέρα,60,unigram,feminine,accusative,plural,mazuwa,2.7231135095132992,mazuwa,day
ἡμέρα,69,unigram,feminine,accusative,singular,zuwa,2.512968271092162,zuwa,day
ἡμέρα,2,unigram,feminine,nominative,plural,mazuwa,1.97872600354792,mazuwa,day
ἡμέρα,56,unigram,feminine,nominative,singular,zuwa,1.7701318574901508,zuwa,day
ὀφειλέτης,212,unigram,masculine,nominative,plural,wagwelagwa,1.0960524252565438,wagwelagwa,debtor
δαιμόνιον,25,unigram,neuter,accusative,plural,mpepo,3.2783350205525776,mpepo,demon
δαιμόνιον,283,unigram,neuter,accusative,singular,mpepo,3.198445414019352,mpepo,demon
δαιμόνιον,162,unigram,neuter,nominative,plural,mpepo,1.1602613902480834,mpepo,demon
δαιμόνιον,140,unigram,neuter,nominative,singular,mpepo,1.3020918550220757,mpepo,demon
δηνάριον,260,unigram,neuter,accusative,plural,matundu,1.2900507976117082,matundu,denarius (about a day's wages)
μαθητής,145,unigram,masculine,accusative,plural,wanampina,2.3101510450640563,wanampina,disciple
μαθητής,288,unigram,masculine,accusative,singular,mwanampina,2.4860850619734998,mwanampina,disciple
μαθητής,232,unigram,masculine,nominative,plural,wanampina,2.3318565683710677,wanampina,disciple
μαθητής,286,unigram,masculine,nominative,singular,mwanampina,5.091668669194637,mwanampina,disciple
νόσος,3,unigram,feminine,accusative,plural,manyonje,1.7459160277733203,manyonje,disease
νόσος,59,unigram,feminine,accusative,singular,kuhonya,1.0387919260028096,kuhonya,disease
περιστερά,78,unigram,feminine,accusative,plural,izimeza,1.1480691267438914,izimeza,dove
περιστερά,45,unigram,feminine,accusative,singular,Muye,1.2179794588719937,Muye,dove
οὖς,122,unigram,neuter,accusative,plural,magutwi,3.2759116515941566,magutwi,ear
οὖς,236,unigram,neuter,accusative,singular,chiza,1.4080886486181787,chiza,ear
σεισμός,167,unigram,masculine,nominative,plural,visingisa,1.064738751859238,visingisa,"earthquakes, storm"
τέλος,230,unigram,neuter,accusative,singular,ajijimize,1.2473455070586592,ajijimize,end
αἰών,201,unigram,masculine,accusative,plural,hauna,1.4114007562093251,hauna,eternity
αἰών,256,unigram,masculine,accusative,singular,yose,1.0814726936814951,yose,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,ameso,1.2078926273888215,ameso,eye
ὀφθαλμός,53,unigram,masculine,nominative,plural,meso,2.930479999413653,meso,eye
πρόσωπον,158,unigram,neuter,accusative,singular,uso,1.6223680200924584,uso,face
λιμός,6,unigram,feminine,nominative,plural,visingisa,1.0595416318177244,visingisa,famine
λιμός,110,unigram,masculine,nominative,singular,gumbo,1.096071996175396,gumbo,famine
γεωργός,211,unigram,masculine,nominative,plural,mlisi,1.5993712625566718,mlisi,"farmer, tenant"
γεωργός,42,unigram,masculine,nominative,singular,mlimi,1.2556434622596662,mlimi,"farmer, tenant"
πατήρ,259,unigram,masculine,accusative,singular,Tate,1.3989168618262222,Tate,father
πατήρ,153,unigram,masculine,nominative,singular,Tate,2.547515193423604,Tate,father
σύνδουλος,117,unigram,masculine,accusative,plural,wakozi,1.161328723715616,wakozi,"fellow-servant, colleague"
σύνδουλος,271,unigram,masculine,nominative,plural,wakumgambila,1.3263593546298147,wakumgambila,"fellow-servant, colleague"
σύνδουλος,90,unigram,masculine,nominative,singular,Nijijimiza,1.0960670999999007,Nijijimiza,"fellow-servant, colleague"
ἀγρός,282,unigram,masculine,accusative,plural,zinkonde,1.3157169794241728,zinkonde,field
ἀγρός,32,unigram,masculine,accusative,singular,nkonde,1.3807044002668245,nkonde,field
δάκτυλος,144,unigram,masculine,accusative,singular,Tomaso,1.1315528875382097,Tomaso,finger
ἰχθύς,125,unigram,masculine,accusative,plural,mishano,1.072996283649876,mishano,fish
ἰχθύς,157,unigram,masculine,accusative,singular,nyoka,1.1184544356806003,nyoka,fish
δίκτυον,85,unigram,neuter,accusative,plural,izinyavu,1.2636165718270838,izinyavu,fishing net
δίκτυον,165,unigram,neuter,accusative,singular,ulwavu,1.5323184880214515,ulwavu,fishing net
τροφή,203,unigram,feminine,accusative,plural,nawaita,1.0662929812890032,nawaita,food
πούς,198,unigram,masculine,accusative,plural,viga,1.3901925498994394,viga,foot
πούς,88,unigram,masculine,accusative,singular,mikono,1.1354248342405229,mikono,foot
καρπός,150,unigram,masculine,accusative,plural,matunda,1.0369478788385622,matunda,"fruit, crop, harvest"
καρπός,195,unigram,masculine,accusative,singular,matunda,1.9132832810984677,matunda,"fruit, crop, harvest"
πλήρωμα,227,unigram,neuter,accusative,plural,ntangulu,1.3365682214522459,ntangulu,fullness
πλήρωμα,278,unigram,neuter,accusative,singular,akusuma,1.0595352057902494,akusuma,fullness
γενεά,196,unigram,feminine,accusative,singular,chino,1.31235147480855,chino,generation
γενεά,266,unigram,feminine,nominative,plural,vyeleko,1.9999486339918595,vyeleko,generation
γενεά,121,unigram,feminine,nominative,singular,cheleko,1.5047060192531072,cheleko,generation
δῶρον,258,unigram,neuter,accusative,plural,malavyo,1.8386713115451208,malavyo,gift
δῶρον,132,unigram,neuter,accusative,singular,kulaviza,1.0322240281641664,kulaviza,gift
ἡγεμών,139,unigram,masculine,accusative,plural,maseuta,1.3422405594277194,maseuta,"governor, ruler"
ἀσπασμός,270,unigram,masculine,accusative,plural,magwilo,1.323041213890747,magwilo,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,matuntu,1.6954778700580355,matuntu,guide
θρίξ,74,unigram,feminine,nominative,plural,ziwazwa,1.0595545022300916,ziwazwa,hair
χείρ,262,unigram,feminine,accusative,plural,mikono,3.5330780771525245,mikono,hand
χείρ,183,unigram,feminine,accusative,singular,umkono,2.0057787403721155,umkono,hand
κεφαλή,170,unigram,feminine,accusative,singular,mtwi,1.3608029881853547,mtwi,head
στάχυς,171,unigram,masculine,accusative,plural,maiso,1.5323061560754436,maiso,head of grain
καρδία,28,unigram,feminine,accusative,plural,wedi,1.154011962930661,wedi,heart
καρδία,239,unigram,feminine,accusative,singular,moyo,1.2854049390305784,moyo,heart
καρδία,159,unigram,feminine,nominative,singular,myoyo,3.608082052648284,myoyo,heart
οὐρανός,7,unigram,masculine,accusative,plural,kwagubuka,1.0967444846296657,kwagubuka,"heaven, sky"
οὐρανός,224,unigram,masculine,accusative,singular,kwembingu,1.6550348454757693,kwembingu,"heaven, sky"
οὐρανός,163,unigram,masculine,nominative,singular,Mbingu,1.2317309341530478,Mbingu,"heaven, sky"
ὥρα,245,unigram,feminine,nominative,plural,kukowadika,1.1617873204569231,kukowadika,hour
ὥρα,22,unigram,feminine,nominative,singular,chipindi,1.120707080076248,chipindi,hour
οἰκία,127,unigram,feminine,accusative,plural,wafilwe,1.2816407205671994,wafilwe,house
οἰκία,275,unigram,feminine,accusative,singular,nyumba,4.172575070463626,nyumba,house
οἶκος,18,unigram,masculine,accusative,singular,kaya,1.8078814564776848,kaya,"house, home"
κριτής,257,unigram,masculine,nominative,plural,Belizebuli,1.652703197947765,Belizebuli,judge
κριτής,134,unigram,masculine,nominative,singular,mkanta,1.4384183776222028,mkanta,judge
βασιλεύς,83,unigram,masculine,accusative,plural,maseuta,1.4590131861900661,maseuta,king
βασιλεύς,48,unigram,masculine,accusative,singular,Seuta,1.9282559251329656,Seuta,king
βασιλεία,63,unigram,feminine,accusative,plural,useuta,1.2067156899131062,useuta,kingdom
βασιλεία,131,unigram,feminine,accusative,singular,Useuta,3.2760644248046007,Useuta,kingdom
λύχνος,210,unigram,masculine,nominative,plural,zikaka,1.0960768946513286,zikaka,lamp
λύχνος,193,unigram,masculine,nominative,singular,taa,2.3963214269777215,taa,lamp
κλῆρος,1,unigram,masculine,accusative,singular,tegatega,1.7569605873209124,tegatega,"lots (casting of lots), inheritance"
ἄνθρωπος,248,unigram,masculine,accusative,plural,wantu,1.5556910772029555,wantu,man
ἄνθρωπος,214,unigram,masculine,accusative,singular,mntu,1.4650896889047442,mntu,man
ἄνθρωπος,143,unigram,masculine,nominative,singular,mntu,2.5975798966830257,mntu,man
ἀνήρ,207,unigram,masculine,accusative,singular,mgosi,2.3108710910189507,mgosi,"man, husband"
ἀνήρ,120,unigram,masculine,nominative,plural,magana,1.2380805162810538,magana,"man, husband"
ἀνήρ,199,unigram,masculine,nominative,singular,endaga,1.1128433816122671,endaga,"man, husband"
μνᾶ,250,unigram,feminine,accusative,plural,zahabu,1.098136778995881,zahabu,mina (about 100 days' wages)
πρωτοκαθεδρία,81,unigram,feminine,accusative,plural,zingasu,1.0833637474892621,zingasu,"most important seat, seat of honour"
μήτηρ,233,unigram,feminine,accusative,singular,mami,1.3311832670857195,mami,mother
ὄρος,180,unigram,neuter,accusative,plural,Yudeya,1.9079332273381011,Yudeya,mountain
ὄρος,222,unigram,neuter,accusative,singular,lugulu,1.6305601712237003,lugulu,mountain
ὄνομα,29,unigram,neuter,accusative,singular,zina,1.5005624296041955,zina,name
ὄνομα,208,unigram,neuter,nominative,singular,Zina,1.4962494045651005,Zina,name
ἔθνος,191,unigram,neuter,accusative,plural,Yedi,1.1341185651789116,Yedi,nation
ἔθνος,253,unigram,neuter,nominative,plural,kavimanya,1.1988837468825129,kavimanya,nation
νύξ,155,unigram,feminine,accusative,plural,afunge,1.0823405463364772,afunge,night
ὅρκος,49,unigram,masculine,accusative,plural,viya,1.1490017677938371,viya,oath
ὅρκος,221,unigram,masculine,accusative,singular,Elisaga,1.0960670999999007,Elisaga,oath
βοῦς,124,unigram,masculine,accusative,plural,ng'ombe,1.4520934495577678,ng'ombe,ox
παραβολή,217,unigram,feminine,accusative,plural,miliganyo,2.7869193539686554,miliganyo,parable
παραβολή,184,unigram,feminine,accusative,singular,mliganyo,1.969417144658188,mliganyo,parable
μέρος,292,unigram,neuter,accusative,plural,mkowa,1.1044190759531307,mkowa,part
μαργαρίτης,186,unigram,masculine,accusative,plural,yombe,1.615749182197484,yombe,pearls
τόπος,228,unigram,masculine,accusative,plural,visingisa,1.064907370662149,visingisa,place
