lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_400_translation,english_translation
θεός,91,unigram,masculine,accusative,singular,Dios,8.000083509306108,Dios,God
θεός,149,unigram,masculine,nominative,singular,Dios,1.1075256594442957,Dios,God
κύριος,239,unigram,masculine,nominative,plural,quiomi'sta,1.096344883540667,quiomi'sta,"Lord, lord, master"
κύριος,92,unigram,masculine,nominative,singular,Ngomi,1.4415179971528127,Ngomi,"Lord, lord, master"
γραφή,86,unigram,feminine,accusative,plural,Totojaye,1.7527772007792894,Totojaye,Scripture
γραφή,234,unigram,feminine,nominative,singular,Totojaye,2.0022282272343386,Totojaye,Scripture
ἄγγελος,62,unigram,masculine,accusative,plural,angelesta,1.723351602407455,angelesta,angel
ἄγγελος,27,unigram,masculine,nominative,plural,angelesta,1.1983479114320459,angelesta,angel
ἄγγελος,72,unigram,masculine,nominative,singular,angelejsis,1.1043612995187744,angelejsis,angel
ἀπόστολος,24,unigram,masculine,nominative,plural,cʌ'wejta,1.4283096083660585,cʌ'wejta,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,cʌ'wej,1.0437883454075485,cʌ'wej,apostle
ἐξουσία,43,unigram,feminine,accusative,plural,ñʌmawʌtʌjtamba'camij,1.0955467890654595,ñʌmawʌtʌjtamba'camij,authority
ἐξουσία,141,unigram,feminine,accusative,singular,aŋgui'mʌtʌjcuy,4.882696356323988,aŋgui'mʌtʌjcuy,authority
βρέφος,8,unigram,neuter,accusative,plural,Ñʌnu'quiajpa,1.0954126531313877,Ñʌnu'quiajpa,babies
ἀποθήκη,42,unigram,feminine,accusative,singular,trigo,1.286702617968854,trigo,barn
ἀρχή,44,unigram,feminine,accusative,plural,ñʌmawʌtʌjtamba'camij,1.0954540950705378,ñʌmawʌtʌjtamba'camij,beginning
βλασφημία,17,unigram,feminine,accusative,plural,'yotowewʌ'ajapyapʌ,1.2535450509576167,'yotowewʌ'ajapyapʌ,blasphemy
βλασφημία,147,unigram,feminine,nominative,plural,otowewʌ'ajcuy,1.9999518142376689,otowewʌ'ajcuy,blasphemy
πλοῖον,70,unigram,neuter,accusative,plural,barco,1.3691088683899395,barco,boat
πλοῖον,221,unigram,neuter,accusative,singular,barco'ojmo,4.525493898746586,barco'ojmo,boat
πλοῖον,161,unigram,neuter,nominative,singular,barco,2.5185856310500894,barco,boat
σῶμα,34,unigram,neuter,nominative,singular,ŋgüerpo,2.5182592310523413,ŋgüerpo,body
κλῆμα,105,unigram,neuter,nominative,singular,ndzoco'yojmo,1.2043204187601095,ndzoco'yojmo,branch
ἄρτος,225,unigram,masculine,accusative,plural,pan,3.2412801586415987,pan,bread
ἄρτος,247,unigram,masculine,accusative,singular,pan,3.9099869926005586,pan,bread
ἄρτος,110,unigram,masculine,nominative,plural,cu'tcuy,1.1663447942540854,cu'tcuy,bread
ἄρτος,20,unigram,masculine,nominative,singular,pan,1.230977897465358,pan,bread
ἀδελφός,214,unigram,masculine,accusative,plural,'yuneta,1.1661329645923602,'yuneta,brother
ἀδελφός,80,unigram,masculine,accusative,singular,pyotzo,1.1655689221777237,pyotzo,brother
ἀδελφός,73,unigram,masculine,nominative,plural,mbotzota,1.1450207544180342,mbotzota,brother
ἀδελφός,167,unigram,masculine,nominative,singular,pyotzo,1.2492747123320318,pyotzo,brother
στῆθος,202,unigram,neuter,accusative,singular,ñchi'oquia,1.756037741948488,ñchi'oquia,"chest, breast"
ἀρχιερεύς,174,unigram,masculine,accusative,plural,sacerdote-cowi'nata,3.3795731158536064,sacerdote-cowi'nata,chief priest
ἀρχιερεύς,35,unigram,masculine,accusative,singular,sacerdote,1.206241010887407,sacerdote,chief priest
ἀρχιερεύς,79,unigram,masculine,nominative,plural,sacerdote-cowi'na'sta,3.1597956778966303,sacerdote-cowi'na'sta,chief priest
ἀρχιερεύς,178,unigram,masculine,nominative,singular,sacerdote,1.1469018517033926,sacerdote,chief priest
τέκνον,241,unigram,neuter,accusative,plural,'yuneta,1.043286301116642,'yuneta,child
τέκνον,125,unigram,neuter,accusative,singular,'yatzi,1.3425851991067022,'yatzi,child
τέκνον,136,unigram,neuter,nominative,singular,Tʌwʌy,1.8944664290235749,Tʌwʌy,child
παιδίον,7,unigram,neuter,accusative,plural,uneta,1.1236200928008135,uneta,child
παιδίον,58,unigram,neuter,accusative,singular,une,2.8414560071194512,une,child
