lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2105_translation,english_translation
θεός,297,unigram,masculine,accusative,plural,nniiu,1.097258004808277,nniiu,God
θεός,124,unigram,masculine,accusative,singular,Dioz,1.8151220791443512,Dioz,God
θεός,25,unigram,masculine,nominative,plural,dioz‑e,1.1634492944761523,dioz‑e,God
θεός,191,unigram,masculine,nominative,singular,Dioz,2.819699382385753,Dioz,God
κύριος,125,unigram,masculine,nominative,singular,xpatróṉ,1.9157246429623058,xpatróṉ,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,Guehtzy,1.1391823609494471,Guehtzy,Scripture
γραφή,45,unigram,feminine,accusative,singular,Guehtzy,1.0234086612968962,Guehtzy,Scripture
γραφή,240,unigram,feminine,nominative,plural,Guehtzy,1.1453010057280193,Guehtzy,Scripture
γραφή,293,unigram,feminine,nominative,singular,Guehtzy,1.12628184385624,Guehtzy,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,cshaalaꞌ,1.2358152231045714,cshaalaꞌ,angel
ἄγγελος,41,unigram,masculine,nominative,plural,ángel,1.2925513293319553,ángel,angel
ἄγγελος,101,unigram,masculine,nominative,singular,ángel,1.0366841708047887,ángel,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,apóstl,1.2142441451347747,apóstl,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,meññ-ria,1.1613548718850133,meññ-ria,apostle
ἐξουσία,64,unigram,feminine,accusative,plural,meññ-idoo,1.1135345497336029,meññ-idoo,authority
ἐξουσία,181,unigram,feminine,accusative,singular,ctzooy,1.0372931923581676,ctzooy,authority
βρέφος,13,unigram,neuter,accusative,plural,ndush,1.16826872600226,ndush,babies
ἀποθήκη,63,unigram,feminine,accusative,singular,trigü,1.1701796166427687,trigü,barn
φραγμός,216,unigram,masculine,accusative,plural,gydzeꞌ,1.212529657217808,gydzeꞌ,"barrier, wall"
ἀρχή,66,unigram,feminine,accusative,plural,meññ-idoo,1.1133763843410922,meññ-idoo,beginning
βλασφημία,28,unigram,feminine,accusative,plural,¿Dxuz‑e,1.0960768946513286,¿Dxuz‑e,blasphemy
