lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1030_translation,english_translation
θεός,131,unigram,masculine,accusative,singular,Diose,1.7817067372415087,Diose,God
θεός,202,unigram,masculine,nominative,singular,Diose,3.4872222935749626,Diose,God
κύριος,132,unigram,masculine,nominative,singular,mosoꞌ,1.5019713004568258,mosoꞌ,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,Stichiaꞌ,1.6760537767524857,Stichiaꞌ,Scripture
γραφή,53,unigram,feminine,accusative,singular,lascaꞌ,1.0822197531565554,lascaꞌ,Scripture
γραφή,251,unigram,feminine,nominative,plural,yalu,1.320748250405396,yalu,Scripture
γραφή,310,unigram,feminine,nominative,singular,ichiꞌ,1.44436772701507,ichiꞌ,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,beenu,1.6811698220958202,beenu,angel
ἄγγελος,89,unigram,masculine,accusative,singular,cha,1.1130285570365783,cha,angel
ἄγγελος,49,unigram,masculine,nominative,plural,ángele,1.3364367573859526,ángele,angel
ἄγγελος,112,unigram,masculine,nominative,singular,ángele,1.42802661999488,ángele,angel
ἀπόστολος,46,unigram,masculine,nominative,plural,ubenchilaꞌ,1.0095403770695732,ubenchilaꞌ,apostle
ἐξουσία,72,unigram,feminine,accusative,plural,cuaquihua,1.1457324316067354,cuaquihua,authority
ἐξουσία,194,unigram,feminine,accusative,singular,rluꞌcua,1.0448195576565966,rluꞌcua,authority
βρέφος,13,unigram,neuter,accusative,plural,ricuꞌnu,1.0938562592316634,ricuꞌnu,babies
ἀποθήκη,71,unigram,feminine,accusative,singular,trigo,1.4542358998086455,trigo,barn
φραγμός,115,unigram,masculine,accusative,singular,abenchilaꞌe,1.0595319950666118,abenchilaꞌe,"barrier, wall"
ἀρχή,74,unigram,feminine,accusative,plural,cuaquihua,1.0354420932147959,cuaquihua,beginning
βλασφημία,31,unigram,feminine,accusative,plural,¿Ti,1.076195143887844,¿Ti,blasphemy
βλασφημία,200,unigram,feminine,nominative,plural,saꞌbene,1.1062485993005018,saꞌbene,blasphemy
πλοῖον,110,unigram,neuter,accusative,plural,barco,1.2313372958194275,barco,boat
πλοῖον,295,unigram,neuter,accusative,singular,barco,2.2060891670923364,barco,boat
πλοῖον,219,unigram,neuter,nominative,singular,barco,1.3029829563664803,barco,boat
σῶμα,62,unigram,neuter,nominative,singular,cuerpoꞌahua,1.1660992136682342,cuerpoꞌahua,body
κλῆμα,147,unigram,neuter,nominative,singular,luchi,1.2923009647397394,luchi,branch
ἄρτος,300,unigram,masculine,accusative,plural,pá,2.8947833438332244,pá,bread
ἄρτος,324,unigram,masculine,accusative,singular,pá,3.8446745897649626,pá,bread
ἄρτος,152,unigram,masculine,nominative,plural,pá,1.2666014879350935,pá,bread
ἄρτος,39,unigram,masculine,nominative,singular,pá,2.88736926200113,pá,bread
ἀδελφός,285,unigram,masculine,accusative,plural,bichilla,2.00614122336973,bichilla,brother
ἀδελφός,119,unigram,masculine,accusative,singular,Jacobo,1.0059297344045286,Jacobo,brother
ἀδελφός,114,unigram,masculine,nominative,plural,bichi,1.6313855743210055,bichi,brother
ἀδελφός,225,unigram,masculine,nominative,singular,bichi,1.627947995337994,bichi,brother
στῆθος,269,unigram,neuter,accusative,singular,cueꞌtsenu,1.411799474163829,cueꞌtsenu,"chest, breast"
ἀρχιερεύς,233,unigram,masculine,accusative,plural,uleꞌya,1.578169456656182,uleꞌya,chief priest
ἀρχιερεύς,63,unigram,masculine,accusative,singular,uleꞌya,1.2448097560592222,uleꞌya,chief priest
ἀρχιερεύς,118,unigram,masculine,nominative,plural,uleꞌya,1.4720366169775527,uleꞌya,chief priest
ἀρχιερεύς,238,unigram,masculine,nominative,singular,uleꞌya,3.2575120480471087,uleꞌya,chief priest
παῖς,51,unigram,masculine,accusative,singular,nzebica,1.0961210847775034,nzebica,child
τέκνον,317,unigram,neuter,accusative,plural,zanalla,1.2641417136265505,zanalla,child
τέκνον,175,unigram,neuter,accusative,singular,Enta,1.3310237966878975,Enta,child
τέκνον,14,unigram,neuter,nominative,plural,Enta,1.3958059676355232,Enta,child
τέκνον,188,unigram,neuter,nominative,singular,stulalu,1.2758483215276946,stulalu,child
παιδίον,12,unigram,neuter,accusative,plural,enduꞌ,1.1610541291658,enduꞌ,child
παιδίον,96,unigram,neuter,accusative,singular,enduꞌ,1.5866960026680967,enduꞌ,child
παιδίον,169,unigram,neuter,nominative,plural,enduꞌ,1.484041843772344,enduꞌ,child
παιδίον,41,unigram,neuter,nominative,singular,enduꞌ,3.686165330436896,enduꞌ,child
πόλις,178,unigram,feminine,accusative,plural,eyeche,1.392797159494695,eyeche,city
πόλις,67,unigram,feminine,accusative,singular,eyeche,4.669033237094015,eyeche,city
πύλη,255,unigram,feminine,nominative,plural,eluti,1.1505170980276038,eluti,city gate
πύλη,199,unigram,feminine,nominative,singular,ruyaꞌ,1.2923009647397394,ruyaꞌ,city gate
χιτών,28,unigram,masculine,accusative,singular,lliacaꞌlu,1.1592939752424762,lliacaꞌlu,"clothing, undergarments"
ἱμάτιον,129,unigram,neuter,accusative,plural,xucunu,1.5369558374244892,xucunu,coat
ἱμάτιον,128,unigram,neuter,accusative,singular,laquie,1.3313013188608087,laquie,coat
ἐντολή,86,unigram,feminine,accusative,plural,mandamiento,1.206754299809913,mandamiento,commandment
ἐντολή,84,unigram,feminine,accusative,singular,arquiꞌhua,1.1525248465782163,arquiꞌhua,commandment
συνέδριον,304,unigram,neuter,accusative,plural,usticia,1.169930239660122,usticia,council
χώρα,274,unigram,feminine,accusative,singular,Gadara,1.9027767330878835,Gadara,"country, countryside"
ὄχλος,59,unigram,masculine,accusative,plural,añi,1.029126000173403,añi,crowd
ὄχλος,7,unigram,masculine,accusative,singular,nucuaꞌa,1.2895001459957478,nucuaꞌa,crowd
ὄχλος,104,unigram,masculine,nominative,plural,bene,1.2673531123845874,bene,crowd
ὄχλος,266,unigram,masculine,nominative,singular,huaxi,1.5828453618596952,huaxi,crowd
θυγάτηρ,116,unigram,feminine,nominative,plural,lliꞌñihua,1.0595965010322779,lliꞌñihua,daughter
θυγάτηρ,299,unigram,feminine,nominative,singular,xinchiuꞌcu,1.1330635226474832,xinchiuꞌcu,daughter
ἡμέρα,78,unigram,feminine,accusative,plural,bichia,5.1733422369991535,bichia,day
ἡμέρα,90,unigram,feminine,accusative,singular,bichia,2.712636003534925,bichia,day
ἡμέρα,1,unigram,feminine,nominative,plural,bichia,4.036420023308287,bichia,day
ἡμέρα,69,unigram,feminine,nominative,singular,bichia,1.3802781703536118,bichia,day
ὀφειλέτης,120,unigram,masculine,nominative,singular,rlacuꞌlla,1.2125176900525536,rlacuꞌlla,debtor
δαιμόνιον,29,unigram,neuter,accusative,plural,benechiquiꞌ,1.5416701681841103,benechiquiꞌ,demon
δαιμόνιον,313,unigram,neuter,accusative,singular,benechiquiꞌ,2.6189126852336937,benechiquiꞌ,demon
δαιμόνιον,189,unigram,neuter,nominative,plural,benechiquiꞌ,2.526490140179207,benechiquiꞌ,demon
δαιμόνιον,167,unigram,neuter,nominative,singular,benechiquiꞌ,1.6256219888610273,benechiquiꞌ,demon
δηνάριον,290,unigram,neuter,accusative,plural,dimi,1.1730429963282414,dimi,denarius (about a day's wages)
δηνάριον,154,unigram,neuter,accusative,singular,melu,1.173496801822969,melu,denarius (about a day's wages)
μαθητής,173,unigram,masculine,accusative,plural,beneꞌnu,3.52034318887052,beneꞌnu,disciple
μαθητής,318,unigram,masculine,accusative,singular,secanu,2.0348455608895533,secanu,disciple
μαθητής,260,unigram,masculine,nominative,plural,beneꞌnu,2.7234402293696665,beneꞌnu,disciple
μαθητής,316,unigram,masculine,nominative,singular,acalla,1.1117670713660783,acalla,disciple
νόσος,76,unigram,feminine,accusative,singular,clasiaꞌ,1.3418559390528215,clasiaꞌ,disease
περιστερά,103,unigram,feminine,accusative,plural,paloma,1.0354296571331216,paloma,dove
περιστερά,56,unigram,feminine,accusative,singular,paloma,1.2542033013544005,paloma,dove
οὖς,146,unigram,neuter,accusative,plural,diaca,1.029369154587437,diaca,ear
σεισμός,65,unigram,masculine,nominative,singular,juerte,1.222902412498602,juerte,"earthquakes, storm"
τέλος,32,unigram,neuter,accusative,plural,rixiunue.Nu,1.0961112485594913,rixiunue.Nu,end
τέλος,258,unigram,neuter,accusative,singular,tsilaꞌa,1.0369640568504348,tsilaꞌa,end
αἰών,229,unigram,masculine,accusative,plural,nibiyaꞌnu,1.3002658298940868,nibiyaꞌnu,eternity
αἰών,286,unigram,masculine,accusative,singular,xunga,2.2724569097002805,xunga,eternity
ὀφθαλμός,21,unigram,masculine,accusative,plural,ebenu,1.153999536092195,ebenu,eye
ὀφθαλμός,66,unigram,masculine,nominative,plural,calaꞌ,1.051788251082408,calaꞌ,eye
ὀφθαλμός,283,unigram,masculine,nominative,singular,uhuane,1.055582600285454,uhuane,eye
πρόσωπον,185,unigram,neuter,accusative,singular,seteꞌlu,1.302209168755707,seteꞌlu,face
λιμός,3,unigram,feminine,nominative,plural,biña,1.106276804395426,biña,famine
λιμός,133,unigram,masculine,nominative,singular,biñia,1.1613374356247497,biñia,famine
γεωργός,240,unigram,masculine,nominative,plural,yaꞌnanu,1.368294012529596,yaꞌnanu,"farmer, tenant"
γεωργός,52,unigram,masculine,nominative,singular,rquienii,1.0811396513413738,rquienii,"farmer, tenant"
πατήρ,289,unigram,masculine,accusative,singular,Pa,2.0154977923839037,Pa,father
πατήρ,298,unigram,masculine,nominative,plural,udetela,1.0524516156253882,udetela,father
πατήρ,180,unigram,masculine,nominative,singular,Pa,2.577216697707687,Pa,father
σύνδουλος,93,unigram,masculine,accusative,singular,ahuaꞌa,1.255508950677359,ahuaꞌa,"fellow-servant, colleague"
ἀγρός,312,unigram,masculine,accusative,plural,zanalla,1.2211929230006198,zanalla,field
ἀγρός,40,unigram,masculine,accusative,singular,exquiꞌñia,1.058816221287982,exquiꞌñia,field
δάκτυλος,172,unigram,masculine,accusative,singular,cuene,1.210120765384945,cuene,finger
ἰχθύς,148,unigram,masculine,accusative,plural,bela,1.2206921014094905,bela,fish
δίκτυον,111,unigram,neuter,accusative,plural,ixiu,1.172014427391192,ixiu,fishing net
δίκτυον,192,unigram,neuter,accusative,singular,ixiu,1.2033617528019076,ixiu,fishing net
δίκτυον,168,unigram,neuter,nominative,plural,saa,1.0960965115985384,saa,fishing net
δίκτυον,231,unigram,neuter,nominative,singular,uxaꞌlla,1.0960965115985384,uxaꞌlla,fishing net
πούς,226,unigram,masculine,accusative,plural,cuchiuꞌa,1.150214646004173,cuchiuꞌa,foot
καρπός,177,unigram,masculine,accusative,plural,ayu,1.1385739744213628,ayu,"fruit, crop, harvest"
καρπός,222,unigram,masculine,accusative,singular,ayu,1.085075232312282,ayu,"fruit, crop, harvest"
πλήρωμα,254,unigram,neuter,accusative,plural,llume,1.6105747176457823,llume,fullness
