lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2081_translation,english_translation
θεός,136,unigram,masculine,accusative,singular,Dios,1.2705915801839696,Dios,God
θεός,223,unigram,masculine,nominative,singular,Dios,4.8895587149321145,Dios,God
κύριος,137,unigram,masculine,nominative,singular,Nabeyy,1.4186622324044915,Nabeyy,"Lord, lord, master"
γραφή,133,unigram,feminine,accusative,plural,Xkyech,1.4392896283539458,Xkyech,Scripture
γραφή,56,unigram,feminine,accusative,singular,Xkyech,1.3918622631703164,Xkyech,Scripture
γραφή,281,unigram,feminine,nominative,plural,kayak,1.5678608587138771,kayak,Scripture
γραφή,343,unigram,feminine,nominative,singular,Xkyech,3.1154149841665553,Xkyech,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,mandad,2.040029314753379,mandad,angel
ἄγγελος,88,unigram,masculine,accusative,singular,mandad,1.941462594724924,mandad,angel
ἄγγελος,52,unigram,masculine,nominative,plural,mandad,3.8204397998334616,mandad,angel
ἄγγελος,113,unigram,masculine,nominative,singular,mandad,6.027117276053933,mandad,angel
ἀπόστολος,49,unigram,masculine,nominative,plural,mkayaa,1.2845117869306883,mkayaa,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,nanont,1.0795209873935756,nanont,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,yilaa,1.0913111579996702,yilaa,authority
ἐξουσία,212,unigram,feminine,accusative,singular,yalnabeyy,2.5624481329755007,yalnabeyy,authority
βρέφος,19,unigram,neuter,accusative,plural,nyaadno,1.106276804395426,nyaadno,babies
βρέφος,342,unigram,neuter,accusative,singular,yix,1.220564730980177,yix,babies
ἀποθήκη,72,unigram,feminine,accusative,singular,ngozhaw,1.0662850125332284,ngozhaw,barn
φραγμός,250,unigram,masculine,accusative,plural,yizhe,1.0595352057902494,yizhe,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,yilaa,1.1278743114199985,yilaa,beginning
ἀρχή,192,unigram,feminine,accusative,singular,—Axta,1.1188889224190788,—Axta,beginning
ζώνη,184,unigram,feminine,accusative,plural,naweet,1.2925939220360243,naweet,belt
ζώνη,240,unigram,feminine,accusative,singular,yichled,1.0960524252565438,yichled,belt
βλασφημία,35,unigram,feminine,accusative,plural,Nebse,1.0298111139067148,Nebse,blasphemy
βλασφημία,102,unigram,feminine,accusative,singular,¡Ngulola,1.0960768946513286,¡Ngulola,blasphemy
βλασφημία,221,unigram,feminine,nominative,plural,gawyix,1.1062485993005018,gawyix,blasphemy
πλοῖον,111,unigram,neuter,accusative,plural,kano,1.1410628621140786,kano,boat
πλοῖον,327,unigram,neuter,accusative,singular,kano,2.321481621479584,kano,boat
πλοῖον,255,unigram,neuter,nominative,plural,nguxoob,1.0133001234281185,nguxoob,boat
πλοῖον,242,unigram,neuter,nominative,singular,kano,1.3599852728443678,kano,boat
σῶμα,230,unigram,neuter,nominative,plural,keeka,1.1063506554444371,keeka,body
κλῆμα,62,unigram,neuter,nominative,plural,ram,1.1485106205930016,ram,branch
κλῆμα,155,unigram,neuter,nominative,singular,nanzot,1.1923375320205476,nanzot,branch
ἄρτος,332,unigram,masculine,accusative,plural,pan,4.536248104160986,pan,bread
ἄρτος,356,unigram,masculine,accusative,singular,pan,2.5743922724910697,pan,bread
ἄρτος,165,unigram,masculine,nominative,plural,pan,1.4054835774871397,pan,bread
ἄρτος,43,unigram,masculine,nominative,singular,pan,2.6059456141846193,pan,bread
ἀδελφός,317,unigram,masculine,accusative,plural,wech,3.766849385677272,wech,brother
ἀδελφός,124,unigram,masculine,accusative,singular,wech,2.1086283196053115,wech,brother
ἀδελφός,117,unigram,masculine,nominative,plural,wech,3.4863449269359204,wech,brother
ἀδελφός,248,unigram,masculine,nominative,singular,wech,2.7580231782346383,wech,brother
στῆθος,161,unigram,neuter,accusative,plural,nzhingwii,1.1062708150644622,nzhingwii,"chest, breast"
στῆθος,302,unigram,neuter,accusative,singular,¿xana,1.5900562246662555,¿xana,"chest, breast"
ἀρχιερεύς,260,unigram,masculine,accusative,plural,ngwleyy,1.420682291069397,ngwleyy,chief priest
ἀρχιερεύς,66,unigram,masculine,accusative,singular,ngwleyy,1.2448097560592222,ngwleyy,chief priest
ἀρχιερεύς,123,unigram,masculine,nominative,plural,ngwleyy,1.300539902549935,ngwleyy,chief priest
ἀρχιερεύς,264,unigram,masculine,nominative,singular,ngwleyy,1.3927757227685071,ngwleyy,chief priest
παῖς,54,unigram,masculine,accusative,singular,yizhgutye,1.1029919937823356,yizhgutye,child
τέκνον,350,unigram,neuter,accusative,plural,xinn,4.443072313041821,xinn,child
τέκνον,190,unigram,neuter,accusative,singular,xinn,1.156061691917696,xinn,child
τέκνον,20,unigram,neuter,nominative,plural,sbaaka,1.0527502016173702,sbaaka,child
τέκνον,205,unigram,neuter,nominative,singular,mzhe,1.169709404529664,mzhe,child
παιδίον,18,unigram,neuter,accusative,plural,madwin,1.7845140233982468,madwin,child
παιδίον,95,unigram,neuter,accusative,singular,mad,1.4305236746741885,mad,child
παιδίον,182,unigram,neuter,nominative,plural,madwin,1.553185322372602,madwin,child
παιδίον,45,unigram,neuter,nominative,singular,madwin,1.7968362781405234,madwin,child
πόλις,193,unigram,feminine,accusative,plural,yezh,1.3889689323475818,yezh,city
πόλις,68,unigram,feminine,accusative,singular,yezh,5.766256354212523,yezh,city
πύλη,284,unigram,feminine,nominative,plural,Ke,1.8320872580027108,Ke,city gate
πύλη,220,unigram,feminine,nominative,singular,nanyag,1.0441038887271343,nanyag,city gate
χιτών,120,unigram,masculine,accusative,plural,ler,1.3589218650752046,ler,"clothing, undergarments"
ἱμάτιον,135,unigram,neuter,accusative,plural,xab,3.438276404609084,xab,coat
ἐντολή,86,unigram,feminine,accusative,singular,xey,1.2883092803989575,xey,commandment
συνέδριον,337,unigram,neuter,accusative,plural,bzo,1.0416622336529868,bzo,council
συνέδριον,57,unigram,neuter,accusative,singular,ngwleyy,1.059015577185811,ngwleyy,council
