lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2060_translation,english_translation
θεός,131,unigram,masculine,accusative,singular,Dios,1.9905815900927435,Dios,God
θεός,29,unigram,masculine,nominative,plural,dios,1.1634492944761523,dios,God
θεός,200,unigram,masculine,nominative,singular,Dios,6.443602687332017,Dios,God
κύριος,132,unigram,masculine,nominative,singular,X̱anžon,1.353560310043513,X̱anžon,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,la,1.1009033861560955,la,Scripture
γραφή,50,unigram,feminine,accusative,singular,yiche,1.064949996799172,yiche,Scripture
γραφή,253,unigram,feminine,nominative,plural,yiche,1.0633755184838365,yiche,Scripture
γραφή,312,unigram,feminine,nominative,singular,yiche,1.2547912202087184,yiche,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,wbás,2.144325603150794,wbás,angel
ἄγγελος,82,unigram,masculine,accusative,singular,wbás,1.1623902101835386,wbás,angel
ἄγγελος,47,unigram,masculine,nominative,plural,wbás,1.1937901392496135,wbás,angel
ἄγγελος,103,unigram,masculine,nominative,singular,wbás,1.9635968700622253,wbás,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,wbás,1.4692043676271769,wbás,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,X̱ane,1.2689991660412765,X̱ane,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,yecheble,1.2129278269959223,yecheble,authority
ἐξουσία,192,unigram,feminine,accusative,singular,bia,1.018414699385266,bia,authority
βρέφος,15,unigram,neuter,accusative,plural,bdíḻegake,1.2929325700400602,bdíḻegake,babies
βρέφος,311,unigram,neuter,accusative,singular,žawgak,1.0354234526482031,žawgak,babies
ἀποθήκη,258,unigram,feminine,accusative,plural,gape,1.2065927676329158,gape,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,ẕoa,1.116991182712393,ẕoa,barn
φραγμός,227,unigram,masculine,accusative,plural,cha'te,1.096057314542422,cha'te,"barrier, wall"
φραγμός,108,unigram,masculine,accusative,singular,wsíe,1.0595319950666118,wsíe,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,yecheble,1.212649645711236,yecheble,beginning
ἀρχή,175,unigram,feminine,accusative,singular,—Naka,1.0493379808291403,—Naka,beginning
ζώνη,217,unigram,feminine,accusative,singular,Žawe,1.0960524252565438,Žawe,belt
βλασφημία,32,unigram,feminine,accusative,plural,ẕzoan,1.3567890523434925,ẕzoan,blasphemy
βλασφημία,83,unigram,feminine,nominative,singular,ẕnnégake,1.8078099263355247,ẕnnégake,blasphemy
πλοῖον,101,unigram,neuter,accusative,plural,barkw,2.1937104381898127,barkw,boat
πλοῖον,296,unigram,neuter,accusative,singular,barkw,1.3747491205859947,barkw,boat
πλοῖον,219,unigram,neuter,nominative,singular,barkwn,1.8151249046997948,barkwn,boat
σῶμα,207,unigram,neuter,nominative,plural,gat,1.1125111918664137,gat,body
σῶμα,59,unigram,neuter,nominative,singular,beḻa,1.0185110328861782,beḻa,body
κλῆμα,148,unigram,neuter,nominative,singular,gónḻenteze,1.1454502626623055,gónḻenteze,branch
ἄρτος,300,unigram,masculine,accusative,plural,yet,1.0455578689810667,yet,bread
ἄρτος,325,unigram,masculine,accusative,singular,yet,1.9366658120375555,yet,bread
ἄρτος,154,unigram,masculine,nominative,plural,yet,1.4198885642860146,yet,bread
ἄρτος,38,unigram,masculine,nominative,singular,yet,1.1982713415681563,yet,bread
ἀδελφός,287,unigram,masculine,accusative,plural,biche,2.3759138987994084,biche,brother
ἀδελφός,118,unigram,masculine,accusative,singular,biche,1.7572544215219381,biche,brother
ἀδελφός,107,unigram,masculine,nominative,plural,biche,1.4349153485509036,biche,brother
ἀδελφός,225,unigram,masculine,nominative,singular,biche,1.7653681440276776,biche,brother
στῆθος,273,unigram,neuter,accusative,singular,kwit,1.36655577663405,kwit,"chest, breast"
ἀρχιερεύς,234,unigram,masculine,accusative,plural,bx̱oz,1.973095486311793,bx̱oz,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,bx̱oz,1.2448097560592222,bx̱oz,chief priest
ἀρχιερεύς,117,unigram,masculine,nominative,plural,bx̱oz,1.2195872815608948,bx̱oz,chief priest
ἀρχιερεύς,238,unigram,masculine,nominative,singular,bx̱oz,1.8029520626427544,bx̱oz,chief priest
τέκνον,319,unigram,neuter,accusative,plural,ẕi'ne,1.0920130947516464,ẕi'ne,child
τέκνον,172,unigram,neuter,accusative,singular,ẕí'ngake,1.1387661315447943,ẕí'ngake,child
τέκνον,16,unigram,neuter,nominative,plural,ẕí'ngake,1.153001606898966,ẕí'ngake,child
τέκνον,185,unigram,neuter,nominative,singular,Ẕi'na,1.1926768127663216,Ẕi'na,child
παιδίον,90,unigram,neuter,accusative,singular,x̱na'be,1.00206949675466,x̱na'be,child
παιδίον,40,unigram,neuter,nominative,singular,x̱kwide,1.5337774031218192,x̱kwide,child
πόλις,176,unigram,feminine,accusative,plural,yež,1.1096481788667945,yež,city
